"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
29062cdbe2ef36f7bc2051475bc155c992d3fb7f,9d70ee121182d0555bbc3502919ba10e9f188857,38041418a0cc2b552a3cced285d39abf205ae738,b7203a478818c205dde5b144d8bdeb81e23e99a9,793e44a2692b679a4c4dd4722adff2f023e178ba
d91cc5790a05b7f842eeb3c9c3420e2ad7dac8c4,0bb2e2c33ad96506ad5c0b8c57b17de3b8b6e99d,8c07d963a5077e9e90067d66a4f0df1ac7af2acf,51a261e8e6813cb8989fce148060a9bd040f0186,12311d462ed685080ba3d427868c15a66d632c88
bbaf79931c107f9f1717e8c870d5522a90a663f5,281d0945583d84de04c6edd4d95d1f9f802f5fb6,b7780930478f861d7497c94765cc112e5cd28c2c,9f45cb3816ffcd3e46668c55ba27500f09c0c913,07d855e9737ef878bdcf53e49c276a3e73c1e5dd
3dac3978bae838d5ef42844cd086fa995e98e5c4,f10ce9f853bdc5568d96d6a532d6c35e2088566a,3e45ae1919fc9baad1aefe0335e3185a84607068,cded17f0c5589562ecf6d83aa39589dbb00c6847,7ad29311c700acaf0643c0ecae07917678f970ca
3de545186c2a1e7d37986fd10636a5dd42213964,b305115800e30af9fc35e529fd124e487cbc2cb2,28ce43a7dc1703ddde0d0eeda7be1844f49c70e2,428bde6722f884ba5864078b1fbc5806a5bf6ef7,80372ab6183a0a81e0511e2989eb732f043d8a30
0f894303b6187e39ba751a9eadaf581b0b84b7b2,be654ba967fa78a97b8cdbde56955556deed381d,9eb6726b732df57322d9ea2023f7181a6b2a365c,c3cda62d830076c489c182debf36929c2b2d2e29,fa25b60d02c8b8c06cd92608a9c99c9a15979e89
2f24ffbbbeeed582f34ed8a71dbce60b781cc13c,de6483948e6ef8704e01eb68193e9b0a20f70b2f,38d4536e6ef8ee47a9755e292943f8d4b84cef32,20319263cc616cbb9d08b1ca544e6c6a32c6521d,2a7cb0aa0f5f9d995a4480782da586306fdfaae6
d0f13adfa446d7398019ef9ed0bf16a8f49471d9,117b0603f10baaf2fc827ec75614373f77b88389,09b4b7e33e0ab2f7b927330924757623bfd12009,826b8a8556e2c5377de76e2d6a5e73e1873e61d7,14a72cefd6dea135d599a9640f7c6bf33b09ea49
4856ac479c1426b34e32bb88444c30d93b0905af,1df2686b4d0d17d748682e839534a93ecfc5244c,2d6693dff4b4a0c11e8c9e6369ea8edaec174521,e0088ba78353bbd9a4ba59f4e2ead824d0b9aa83,23e44fa04df260d715aae9a938c82768c35ce7d0
bc0c46578c44bf440177e9a998bd90133d27e398,b1360bf4feb8612572075352153068f9f3f7f283,91470c0f35490eb2691bc882cf5d7ae9896dc883,1b69ff5d90711863cd1acc55397abadb032e0ac5,2405629ff6ce266bc1c1ab70804e5558f0d993ad
74958a8415f76301a609f0757f48a5ee98215694,20be66083a054854e3346aaaaaf56743c39a966b,b4ef0497d080055b5ab3f9996ada619d30cd19c3,025232144db377a6b4aacf549d3d99b2b0b1ae86,4cdfc3a87c838cff95c1a313c31368a2e3e41af9
1dd577cf480f9d667b82e12bc8dde88960622838,48f35ffd4ed0349b20591baf4cf4e405a94c1225,f4a39d78cd038f6c28f00f40ae63a71f2e3003a2,ad0a4c144b2e11cbe3ddf45f25b21bf588054cd3,8580022e23e9aeb76278624ecd5a04ebbfef06a4
9881b4601fe87d06c1a4afce4675d82abc79d734,09192068c951050fbb42f01a9e04f2c3fd9c31bf,421c16b918459bf3aec42e1ed9cfb0dd8a385138,c12d80565ce639aa56e9608922e80aea602ae681,4d50dabd9a66438270549a9a3c4aca1a12c857d2
1f8810ffde1cfe82d694387d970a57649b656770,c9b96a721fe9ea039e5928a258b16373528c534f,23bc12e4942ba850ad383f2cf9c1b7562b3ae142,61cd867350a1d2f45ed33d58200c57005e62472d,0d6266348f4ad6b7e2830becdce08917dfba21ef
0a3436d269003c9f01a535f99219b3d9bca588c1,b22409537047f6aacf251fd166e1a93d5a9ccf2b,a1820fb94d8e32b6050c4dce6b7b7e3a9c6fe943,c4f73dfdcb0ded575810b03cbc445351cbb93d7a,5bdeedfa065bc541374e21dfc1056665e02ae12f
d17940d88fa9f304b8ff692844765f48e0c44308,716b8ab1813776e0771b5a9c5e5d7208876570a2,98ae0eb151deeb89781a19ea5a10db1df196187e,54b1a18ac2b97045bf99e7e5d4f73904ea2be7d1,6f9ca20131144c7574953280b0dc7213aa18924c
f9a2d2cef52f3063bdf042bad97d9a6df5ca205a,9060cd2a6d4104b5b6fb0cae7731a5fa16e1eca0,af2225227ac33eacc63ccf573cde9bc56a290207,72297df50c5515f9bd977ac1f6a0fc1188e575b3,7aee8cbab435281165629443040201bb220254b9
409a0672d1c90a0211c0e2ebd9b43dce4d2bfe4d,59bb1b6fa22aa339e2c9063433af1181d4f277b6,2b50e07a353efb2895ffea716da0d5a7a438eec5,f6f0db1dc3b2560c52ee09eff0a2b61e02b0c9be,7add29e6138b4602de47c341747920478ff427e1
9f3da2c1759faa0acd89151e77f709423d9afe4f,ff2803078c78a674dd322d2db10a668354e7ef84,ba4eace8bda59f3ef8463536351df2da5d20f5a4,cf9e57661e6616d0bdc4d04ae5acffc423bc51e7,0ab0c3ee94253467cd96d4580c0ab9868fc7936c
0b442afaceacb918c4a0f601ab7d1c0bb7105769,1ffd6b7e38d2fb863408b70eb5273c394fc226cb,ae94c2df198f451813a5e5d228a228bbb1549697,ac04923dd08a5ace7d8a21114f0836390933270d,6336a955884ca36ccbce4c61e7da58aca60d58ad
d5e5a05c926d9b8886f90fe8be73a9ee9f946228,d31a0013d1ae6d03cd47628f35a0936945588e0a,fa60a543cd6938bceda8b4750272c4853d795a71,d202d18cd80761bd242100dbc8c2c2c05e8f1cac,51d7d839c24df7d77da62e302d053c21f3898455
3c57b9f9b5bf6e43118738bc8267c8d1c9296cf1,09e0a105b5a5fd3836717464c4f16686262adb64,a98afcb2b6cbb0fa411b8ef3e5d52c1837b2957c,3b203cad54307c40abfc6af200c97c7f613cd78a,658f3177f59d09fde3969ce19a622f30ad760d20
46f740ce706459ec3c8861065e0d24b99ac525d1,7be4f0e44b3234c3f6b022ccae9d698d20f88704,3e8a2387d29b98cb8e1b05f66da0f49716b468b6,0565f25550e6959af19ff41842f1bcbf9e579791,71c4014707ec9f0d563d479ccfb0ae0cbb5ff0c5
7b5aee3c8c5d4cfa91441db9180160c73c6387a0,2beb3122daff838ba796f1802ba8d30f6d7de3dd,f572a747d51853c4662dc899e8573cdf89303430,7222b738adee406678f28a2328f286461548ebc6,991e0316f38004ec0dfd60f369290fb6a0aea0b0
b5da3a75bf2fd88efbcd68549841dcc71c8dced8,7f40cabc466b2ebfda6572ed1a7205b85a6624ec,bc86b5fd6f9a394607d2bf479a4f84192e505b64,caca38f318927645ea01b86e56ed90f947e5fec3,af50331dd2f8d8d46b09e5f769134e24068971e0
ecb496c69fd7a63623ca1a2235658eb084c3eb3e,b9544a8be254a574db2a462c99476d6dd2757f4c,1b75ec9b2d9aa2d2a6e61c644e0b59df73b212ab,14087eff437803d90925ade90d6b1795f72661ce,b138a39c8d92b985547d187047b247337cbf90e6
34568bf93ff445818f5507e240d572a1247993ab,f1acea36698a28bb1ba7ba64c07219cfbe6de6c7,874be86ab2dc53803fc766dfdab1af07b3956cb8,c35b652082303b524bff09207fca58c802804a5e,2566a03d6e79aea646f949669c052ec0f2268686
e1fa2fae0cb6b293530d89d99bc806da83fcd02a,dbb0826ab8d68abae31456ca000e719ed53fc4e7,6ec90d9db99263364e1b3ce6cdd5a294bfad4c4d,9bb91b9c2005eebd3662e0396488f668865b8ab1,7cbdd75859ef7baf1376751143a58b5f945cfd84
48d726173403f142d70b6a3a81974d21e0417ee1,63689a0baaeadc4ba12227d091e12e7daeca157b,0d59050f3a7a6034ac4131f290b81139e8e54114,24aed2e14f3329ebeb2eb81d73c0e6737b943d2f,c336c14e18c3ac87ab06493009281f50e103e0b9
0e0c5173d1e9427e8f62487a3421d30a2ab99ede,12d0b34ab9aba022dade421ee4a64b581397e853,5c64d530ef532dd72070cea650ce20cf1ef36e30,390f1e00f660aa5c2e46fab59f7b81632cd77bb0,f87ac51aab2b38c5c1af3e033bd147fa80f4cbfa
b8a549ed6cea8e930afcc0dfc4d53d9490216c40,acfdcd57fa1aa0ccb1698ba298d2d668ca946226,ef8cfc8f55870d8c3ba921d51d7ee38e3824dbce,a03908d954aa765c66a33e699f43929863c27b44,74a0acb3f2c48ed859d5a6875d3b24ef3101cfe5
205dd1afa8bd0309d6f0831e92158caf05d130ac,121a41569bfb17d49784ed83d6922c0651039412,b1324bcc7ceb3e5dea05114920ec0598f71b09af,31fc09743f435b04c9a8f8e52283c810ef511007,a4e3c5c4267254dfc4d461481c2c59b566bb7b71
6970abf8f589717ff218e63905948f5698733653,d711aa5f5a91a1d6f36a83462b78f46a917f4144,73dc0c662fbda29921d3c7223ebf56b6eabc51ec,807db7e5850c63f2a92d322878ef358a0579316e,37f776d9b70ed7dbedfd789d0e9fd8441f0e0ccd
cfe8fabc4fee069f7ff65e3e78190bae50e22a0e,1b947f59796001c164f0441f955f74a385514e1f,c787f46d03c2ef5cc885bb495ff89523326030d2,b78d835ba34d00f7f8dfebc8a829c426da1d37b4,fb79369e9d74c8aaba89ad1b558477ad79710df2
5b189cd962a5d69a16c706338e845a7b5f353efb,7d3adee24dbd5bb148151ea4dd109758220f6fec,b83e775bb4efcee91b21a7a9eed60bd2b052222b,988a65fafa66bdda465db20e0045096028227f81,9f2c697643eed654fdad2600b74ca8817f3edca2
38d78ca38f3640b36a73db925f8e0310226f9cba,94f6795de7782b7fd96dbcb3df9d9441ca437669,ba48818833df5e29f7fc2e281af9eadc031f4c53,ea37cfc8a616fca98878f081b4cc4a966b94c571,c6111bc73df2bcd6686989a1534a5fd35f3d9c85
f82ac03cdc840f1eddc94ec9541f6b01ef4cf0b2,1cacb0c942e5408df42fdc7175777bb444630a81,a6b21d4119a8904b78ed6f35d31dea5cee0653f1,63dd54bfda7b68bac541183e23ca994095b2efb4,763f60abff1a875d36e42ac90b1c09647c6f8899
f3a3b1d3c83973b8a1f1e48617396c8dbcdf1a3d,ac15950856f9d83970336da17d2987cd877de3c3,28773c998eb630504fd2ffefe1f401c9538f44b8,a133d5dcbc9f3628743919418009d9b75bde75b1,17843667f67fb29e79db96d6b040be0328dff7d6
252583d3d6d13f20e196e79155c0c84228b4cb69,08277f646cc149010888662b317641317e257c2f,3d3a79b3bdf7a2ef9cb3b4b66db4736b71df6911,3c6a589648d39e08f380c34e564268ced226330f,1a267b880390b9bb5a1e90a292f59361a039cd4c
ba0f3f5997507376bce9e4b968a98aff72c75edf,caad7cc591d3d86355033b928992f79b7ed682bd,bfb734f4d9c683c60ebbfbc9898f7b011bc4d8d7,5b5970086dccf263040e1e0d1ec54953e14708e3,a4564f628cd6c36ef6c630a9e679297721328687
6de44c0b32f5c743da7f99344e4aad7c2db0ccbd,eaa9f33c91ae4efb0c9b1b787ef6aa6083a9d6c5,d738b3b5f93f499c1455197bc1f3e3b3d49780f5,85522b2c46bba67a3978c25bad94ef97631caa2f,3854e1d1260df74edb258d57f869eae9193fdc0b
8b2918e6bc122c9febfe05b975ee9015bf17bd2c,055895bc9c2d0d97513e9e43c21758346c0fe223,e519ea72305baea86dfb9050b81c3025c43f96cb,5f12bbe9365948ee5181556af1ace9bcf09c1dce,1fdf72164b7dcb1caaad1be377732f81601873d5
fbaf618e48ef87a87fbc5628231c06ef024ac972,8f9baf335d6819856491f2dc08e56ec1b335efe0,6b8576a5c9d04e3dc707802b5bf40474cf61c25b,dc999aecc101a09fc751f134a7ea263c6cfad9e6,4026ba65d5156435e6903326d66402e4cac2b356
02cc45e207095f05e6bb7a2615d1378de4903961,13b21bc8aed17862f4f1a8932f97bcfa8f2ad208,283dce0248fe74304b6764fc73219f06931151fb,13bc74278d91340b6dec4a94ccc9e079daf90c91,de0f0e2ac01c97368c2efd0928f6b3462794cf80
eb409b5d3ea0d11122d1f7c5d1764574ec745ea4,46d63080f03ef03f60e95724d1a5713ee5150ae0,bcf1b06053798afd97f9d2ffd88f1519b681abf5,81e3116b0c44ec7ab22543e80094d5aa1b159b8c,4f052caf73aa8fcce679e738320976e6400fded7
adfcc45b201c41a0a22ef724b148e2343f296b8e,c20f2014fc0ac4ccaed2f8dfaabda3e24061c05a,b4012828cb0a5187f0b4134f58aea9ae232db32f,0f6ebb3caa8a74de88cdc6e0a5785c7466c26421,28ce762409da7fbc6879b9d6c3451176fade0187
8316947ad603152c3f19a5ca0332602bae11a372,f4cc01d95befcd546f10bc55e5ad5f4755dd9300,993facf221cec05114847d45781faaf6a9cdba45,b6a7db0305b57826687fed5e6aa0ff92e695ccb9,deb3b213dd820174a1b9fe408c375c04b9a38219
9bce5c60ab89e7fc64ecb304966ff4cd7ae94cba,cbbfc36042bc691236ff84c6e8ad96e7a927bd84,e7175f18b4b7cd64b3c9b93faf49fd6bc34d0227,6d9e3a2716c4701e74e5e18965b6a0feabeacba7,bf75915c76605d0f86c2bec43f249647ef6fb1a9
634e924f1cc73bf8fc0d109519c2e067305a15b9,245b7fb2ff71f9d521ec199138e4ae5c47210ab8,b23c8221e8468b4138979bcaa5ed14e31f8868be,1799f2bcaef7da62d165493baca09d6714110c7e,322bb39617a71d36c14ba2a9746f97f1bca7a40a
9fd63aeb21d254175c028e1f631b4ba8ec17f00b,7143bafc90d207515a3280faa5e897aee6062a52,3387c74f907c84beaa4c46389ef6689846dd7242,b25667cb92788e6fc24bf189571d4992ba40be45,3986492d91e1552e260467850ba2bfe9fe7d4348
f51b29c6de9edfd200bad1cd22ba71ca1fe78df9,3668006c856b56f8501612ea2fc16658fbd12f57,31c7ffdaff511843782b46fbcf3715ebc03ef407,4ff5d6aa33ef5d03a843c236a1d29236dd1a247a,c6ec5ed00596b271c9f4ee91555b58a6d52924d3
5818c0b33767f2b8ee57de0a9aae7b7361071902,85e23f341a78bee7c19c4f4d364cfb58909fc10b,ea004d0c5be51599163a066ae3baec7bf880543e,395716c3c1f3a8034b9300e9dcc12e01c7575eeb,f903ce32ba742030628646543390c9886ef6a349
37322ee38ea07818ad5fe4a408588c9142cf5ec2,626d47d0e2dad79bf58bacee1667e6a0b08a2057,34e8c116c31a253ee7e91e5bed1942b4e07dc341,cb5a0150d6f71b5f9bd26be03c334880ff2dd811,fb18391ff22567054859a3f4f7f5bef261d4af0c
cf5c776efc2546479175522fa190bf5be0942a53,1a5ca2c3036c7fe2fdd195c1778fdfeb3328323e,206495c3146ab5b978b25a5b52bbac4850def81c,7232f061fb5fd0cdcfacb90d498dc5a5ec864c95,2471ead4c2a27f7d70592553037776ed842ccad8
559b3031044da364637c10bee828b1238b3e0a6b,01e8c60d3eb4a1f57d772803775aa5f9d7db9faa,e531621aa6f906c333c390c413146b7ba0bdc4b5,1d9859aef178e3288cafdc6376b932d59f783f17,f9af1db80ee9d7e45ee734e4d87d9ec28a48a99c
d4183190d800c19a0a402e186c7d86ad451ce5d2,0813a29bf7d1f76b9e45947140a94ac591b46bed,7f71cbc43db7e3a60b5df0f3b87cbd847a564c18,b1f6d5ed9ee432711ed04e1485fdd94c9cb36bff,9a0b11db52b1d68ff67e00eb55d8385f4c3da106
d5eb5fa249269e4b5a21594643b8f2a8c144f0a6,4763a35e4b866bafd0c5f8df62ce675967f07fc8,fccb54be77644fd10abde32f1bf20627e60c9f51,3a5c24746a5be790313f803af7eed971bf29188d,dace6a75b5203db0163ad111a9d75986299aa793
0a38788834a0c165190a3ca82bd62a7a7c701c13,0f18235d84c47535d237f96c9a1bc8d1ebe82897,0a64fda00119c0a40d646747533981d43ecd2986,f40650800742b3042eead9a305c9faca7d9bbd98,cba33d30b4f4adeb6df3db684461ccabb8e8ef19
b0eb14dd6e2a301532a3a75f889df5c49b91557e,ff619ff36e35409a65b3ffe1203b2cd5981f86f6,1db971f5027553985ca21a577a28957199c0c95c,4cdd1b21d93eb293bb8b8e3a8d3e876afc030dbd,8d61f777b2ce505665c3e192bf065088c4222189
