"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
fbaf618e48ef87a87fbc5628231c06ef024ac972,46d63080f03ef03f60e95724d1a5713ee5150ae0,ae3fb940852dde14052764514f6f22daa5a7f4f9,2fbf2e6ee731ef27d9540cbb1091d968b90d7f4b,98af7088a92bbce3e913acab594ec8fe6469eb26
d5eb5fa249269e4b5a21594643b8f2a8c144f0a6,09984e2fab389c3588871de7d74d1a0be3878952,2c9f504eb38b858f5ca05d2eb77c629a1896f2c9,dbfba2267309fdc05594ccf0de415c82da6d8e7f,f43f52d5912b32f2bfc292c611c3bd44f7c58202
34568bf93ff445818f5507e240d572a1247993ab,573f06e0a5aab73e302fa122f6e8853bf4396300,6b406a719a912ee01e7b8aaa14783a4a497c57b0,cded17f0c5589562ecf6d83aa39589dbb00c6847,8f81501769f8744ac344e2c3f616397ef794ed9f
39247c5d59fb01470042898de2e64b323fbd2638,0c19d34aeaf6a05ecb0cf97cdb6ada694fb7d3d8,72b219986941441ac06e1a2bdfeaeca93104bd9e,c4e7b229ce598b789b9dcbf33b2984e5ae22a702,d576998ed040bfbc3f9e9758e26e59f568e31843
8b2918e6bc122c9febfe05b975ee9015bf17bd2c,1baa6e534e3adf2d4771f8e83b0a6ff7d2e58a42,3e45ae1919fc9baad1aefe0335e3185a84607068,cb5a0150d6f71b5f9bd26be03c334880ff2dd811,99d0a97bf1d5ba86111e7d996e6775a0e374cc45
409a0672d1c90a0211c0e2ebd9b43dce4d2bfe4d,b502039484334399d3039f3e43b64d4f821cfd32,8c07d963a5077e9e90067d66a4f0df1ac7af2acf,70b1357c78c942cabf39a1f2418e1840a4c5371d,14a72cefd6dea135d599a9640f7c6bf33b09ea49
0e0c5173d1e9427e8f62487a3421d30a2ab99ede,3668006c856b56f8501612ea2fc16658fbd12f57,38ca8f73a735f1f223c07b72124c82b509277ea7,b7203a478818c205dde5b144d8bdeb81e23e99a9,de0f0e2ac01c97368c2efd0928f6b3462794cf80
6a765ebee4add535d5719b1d5fc501b738462a26,7d3adee24dbd5bb148151ea4dd109758220f6fec,34e8c116c31a253ee7e91e5bed1942b4e07dc341,f5109134ecf9a879e6c98941db14822120e0890a,5bdeedfa065bc541374e21dfc1056665e02ae12f
ceb543cac98796aa6ce45bf8c2e409aa8571efaa,903f1f94ceed48b556d2ef58e6be7e72c840ddbb,2b50e07a353efb2895ffea716da0d5a7a438eec5,45668d211a331afc727620fb2898c558fa836f99,a766d56430ca050f7d4eeed227e0c5c2c075ef46
59392f1c597e7a1fc8bbad2cad3f61a374333bfa,4f0801d6fa93e1e0271c55f3e6a17fe46d06503a,a4775b678e2fa17717e789a314e3ccd63ee2352e,b1f6d5ed9ee432711ed04e1485fdd94c9cb36bff,a7923e873d065c71a8ddc2250481361248959ca6
d4183190d800c19a0a402e186c7d86ad451ce5d2,2b5f007db519d2e8729d67a725a43c58709b6f6a,bfb734f4d9c683c60ebbfbc9898f7b011bc4d8d7,f6f0db1dc3b2560c52ee09eff0a2b61e02b0c9be,5ebc6856f9c504607990e76accb5140f37d8f55a
618364dd5ce90f62c3ae571a3c372aa94b0c6074,de6483948e6ef8704e01eb68193e9b0a20f70b2f,4aa9310060070300730282a9af068ee10b4dc05a,807db7e5850c63f2a92d322878ef358a0579316e,55e6c6c43b1653e75eb8fd3fe9e294023444e76e
b36e2a08b0394a72d9d33e83477d14dbfcc00e6f,b1360bf4feb8612572075352153068f9f3f7f283,c0a2c0702dd9896173035eec1759c916880246c7,81e3116b0c44ec7ab22543e80094d5aa1b159b8c,4cdfc3a87c838cff95c1a313c31368a2e3e41af9
0a38788834a0c165190a3ca82bd62a7a7c701c13,dda5df5a19bf2cf4fbde36f341b06cdf0c418a8e,98ae0eb151deeb89781a19ea5a10db1df196187e,0918703a4292366e349edab8e5926fb58fa0dc0c,89020f93526c4f5a97f5bde437d7251beed910de
5697b4d9b1325556d6e6043e684a2fc789e10cc4,d31a0013d1ae6d03cd47628f35a0936945588e0a,f572a747d51853c4662dc899e8573cdf89303430,1b69ff5d90711863cd1acc55397abadb032e0ac5,fb18391ff22567054859a3f4f7f5bef261d4af0c
fedf161eaa4f3200db307a54e689fd6afcad6ce9,5e7dab9a830aa01f44fb122ef5cf223fc33074b0,6b8576a5c9d04e3dc707802b5bf40474cf61c25b,14a90a3dd27d662589978f0182745b6511dd6550,eddf86df6dc568fb95befee939f4510ebc16b647
0ff8f390315decc29ef7b670d4ddac6e6f203d85,cbbfc36042bc691236ff84c6e8ad96e7a927bd84,3e8a2387d29b98cb8e1b05f66da0f49716b468b6,61cd867350a1d2f45ed33d58200c57005e62472d,b138a39c8d92b985547d187047b247337cbf90e6
5818c0b33767f2b8ee57de0a9aae7b7361071902,29fcb012137027017b26992488d1e168cd08fe47,6ba18abaeb8c5f0d9f829edba30e3bbac0f0de0e,9ab26b56e5d635309f2dc1918a5d2d7abe5b6b14,4de55b773e158c2a3f95528b798859b67a48c38b
2f24ffbbbeeed582f34ed8a71dbce60b781cc13c,bb4f812bbc12bb4a0d8ba31b5c83bafdfea6b388,70f571c8489b77a0b9d6a5e3954ae2e5c7459e6f,9bb91b9c2005eebd3662e0396488f668865b8ab1,7add29e6138b4602de47c341747920478ff427e1
b5da3a75bf2fd88efbcd68549841dcc71c8dced8,297e3ab4801cb482b7d932368c9db9b8d17dea33,8872fd038ca9d1e9bb57a46dafe533fa9e0f0295,ce1b581a648ac13736bfb442e7cd141b0b546a3e,8580022e23e9aeb76278624ecd5a04ebbfef06a4
3dac3978bae838d5ef42844cd086fa995e98e5c4,9670aff43cb6ff94b674261abcaec5da0d776f05,38d4536e6ef8ee47a9755e292943f8d4b84cef32,85522b2c46bba67a3978c25bad94ef97631caa2f,51d7d839c24df7d77da62e302d053c21f3898455
b0e65f32b7cb2d3d72a588be134b02afec79319e,08277f646cc149010888662b317641317e257c2f,6ec90d9db99263364e1b3ce6cdd5a294bfad4c4d,b78d835ba34d00f7f8dfebc8a829c426da1d37b4,f9f438955753128b3e8a1a8f4d136e6521c4e76d
3c57b9f9b5bf6e43118738bc8267c8d1c9296cf1,876ff736fa4f62fc020d6aa5cb2f6d75c39e54f4,77064d2d9edb6a2a4f6d8dd36d7c5b7f4d4bb36b,8c85c693b9e937db0d074a9156a62c172c911d0f,6336a955884ca36ccbce4c61e7da58aca60d58ad
1f8810ffde1cfe82d694387d970a57649b656770,d711aa5f5a91a1d6f36a83462b78f46a917f4144,bcf1b06053798afd97f9d2ffd88f1519b681abf5,ccacd47b1a0283b6df8798f91a8a2b8f0f5507a3,991e0316f38004ec0dfd60f369290fb6a0aea0b0
8345c924c653c3e542e6beb43b01a8ddc2922a05,7f40cabc466b2ebfda6572ed1a7205b85a6624ec,5ede667ee4237eff7ac05f20cf13a2942ad0abaf,428bde6722f884ba5864078b1fbc5806a5bf6ef7,78e602ff255834dbc94ee95453fc3be36e190d63
d0f13adfa446d7398019ef9ed0bf16a8f49471d9,31140a1570e859f291453b60f23c5e223ccaad2e,d1bfbbd2d7a1d6b7ac4e1b2eab841ebfbfe88c10,3a5c24746a5be790313f803af7eed971bf29188d,fb79369e9d74c8aaba89ad1b558477ad79710df2
b8a549ed6cea8e930afcc0dfc4d53d9490216c40,4763a35e4b866bafd0c5f8df62ce675967f07fc8,af2225227ac33eacc63ccf573cde9bc56a290207,aaef3a9840b909d63cfbd62cf034a9c68ed5af68,3cfe66054e26e4ac9f375de26f686818b6b1a6a2
cf5c776efc2546479175522fa190bf5be0942a53,172e5056d9216359e4e024fe9d7b9fee2dab2ddb,748687fd81b0f478e066380807f83129e51d00fd,1d9859aef178e3288cafdc6376b932d59f783f17,a9218baf9e1a8dead97b5391705ed6cf5dbd2f46
634e924f1cc73bf8fc0d109519c2e067305a15b9,01e8c60d3eb4a1f57d772803775aa5f9d7db9faa,28773c998eb630504fd2ffefe1f401c9538f44b8,a133d5dcbc9f3628743919418009d9b75bde75b1,996b998fbc7211de9d2c3f0b5b4ca83e94fe77aa
3de545186c2a1e7d37986fd10636a5dd42213964,1b947f59796001c164f0441f955f74a385514e1f,8ee94c5bdbb4dde3983099a34454e176c4e7fee2,8a29414ed17ab7c224d417b05a23050af5db529b,c6111bc73df2bcd6686989a1534a5fd35f3d9c85
15c6af89f2439439f248a9632af0cc8061752ddd,e237b71256d9cb0d9a6f869eda967b72ffd5fb9e,1b75ec9b2d9aa2d2a6e61c644e0b59df73b212ab,390f1e00f660aa5c2e46fab59f7b81632cd77bb0,0e5dd1ca6cf5a76a864920b4281ea17bb0d97a8d
252583d3d6d13f20e196e79155c0c84228b4cb69,9b9b1ffe6b4ac8871d32feb7a8605c4b9594040d,e90cacfaa983bf34ab64d315e68e7b19a512a978,a2d1dd5f4ec3318be26e7186cbf3e46159695136,4d50dabd9a66438270549a9a3c4aca1a12c857d2
8ef4b6fde8a1eec0852e1903883e69c2189ff0ea,f8eb9bd7852d7382c8f0433023293bcc1c9a4bd8,3387c74f907c84beaa4c46389ef6689846dd7242,98df9f9f593997092e3394d96f9fdfdb58384164,7aee8cbab435281165629443040201bb220254b9
460ecd763040145b0a964ca24b5801726cbc26d8,3854984505d5d736da2d3ede38972c69cc64fa90,7a89e5c7ff6593d061bd87e3f3828810edfd2a59,f0d41930d61535fbe2d7d7471b9a4d3a9da82560,b26ab07c52dfa203d5163cac220539673cdda264
