"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
48d17d3c778f9aac66d6eaefe02a1d14492c0c04,31140a1570e859f291453b60f23c5e223ccaad2e,ae94c2df198f451813a5e5d228a228bbb1549697,a506da67d9b3c243c1b264c138d15b63cacbf002,3442ba65a18bcb96fc99a83e2062d1b540455f15
17674639666dd4b5bd3eee2801db523b8e4c1960,716b8ab1813776e0771b5a9c5e5d7208876570a2,72b219986941441ac06e1a2bdfeaeca93104bd9e,a4ff7850ff16b297968f8acc95f8709fcc90cae9,960c20c3f2adc815cc15687d0d505e7d438012ce
bf5c59007d017f4760c1c8da0c35cad63ff0e00e,8aa5ea033dd729c20ad3e2f11f09452696935553,f7bc5982b629277f602d6a441f3598615600b541,e1b82388077093fccd0b3b909ffaae637ed6477d,29008b80c08a30a9ebb1f906ae7bc625a532447b
eb409b5d3ea0d11122d1f7c5d1764574ec745ea4,01e8c60d3eb4a1f57d772803775aa5f9d7db9faa,70f571c8489b77a0b9d6a5e3954ae2e5c7459e6f,70b1357c78c942cabf39a1f2418e1840a4c5371d,9bbfaf24196ce791c0827a7a879a115235bd085f
6970abf8f589717ff218e63905948f5698733653,bb88c530af79bde55c2f90483102602b4e2d7cdc,39eb0e5c68e6f8055fa43c008695da32942681e1,63a65a90f370ce3b9c104f528ff5777648422587,f3aeceb9556e1b106b25144b7c7298d67915adf2
625dca4018e05a39a1525386db74be6dde67bc90,0f18235d84c47535d237f96c9a1bc8d1ebe82897,c787f46d03c2ef5cc885bb495ff89523326030d2,14087eff437803d90925ade90d6b1795f72661ce,80372ab6183a0a81e0511e2989eb732f043d8a30
96bce1fa6f527cf29828efdbf6474f0eef01ef5c,5e05461951cd989e3203873ea5f36d6bcb413e68,64ad32792cba3fb0d30a8eb781781e489f63c993,457f56b0e2f88cb35b31b2072d35ff2797513f11,af50331dd2f8d8d46b09e5f769134e24068971e0
6d2a894ee685e61bcb82d77a9269451aa1fc2648,9d207131f23e0dc06fe46c840aac288100ce1e58,42bf9d59f56c383855f830451b76f2d08925a18c,ac04923dd08a5ace7d8a21114f0836390933270d,de0f0e2ac01c97368c2efd0928f6b3462794cf80
38d78ca38f3640b36a73db925f8e0310226f9cba,5d4b3107fb3a62340c05aa4eaa5bd712043ab61b,3e8a2387d29b98cb8e1b05f66da0f49716b468b6,51a261e8e6813cb8989fce148060a9bd040f0186,2a7cb0aa0f5f9d995a4480782da586306fdfaae6
8d58926e98865f35e633652fdc74aa03605d3664,528e3cbb6095c3dba2745aaecedbdf2ece4116d5,159e51afc3b8fcea69276a666c42d6e20c6ab5b6,3f3c90cae488e097bc470586a9d620f86900fdd5,8f81501769f8744ac344e2c3f616397ef794ed9f
