"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
c5e20c2d46e1559aa9766bbc2ae882c9e8ceab63,31140a1570e859f291453b60f23c5e223ccaad2e,bfb734f4d9c683c60ebbfbc9898f7b011bc4d8d7,dc999aecc101a09fc751f134a7ea263c6cfad9e6,1854207026860a8d020b95af6d666f1ebecc4f0a
8b30272957cd3f5597725759deda175c385d0476,be654ba967fa78a97b8cdbde56955556deed381d,e9e2c69e960ff254137fd17aeb1d5576457a28e3,826b8a8556e2c5377de76e2d6a5e73e1873e61d7,2d2ff59a9f18dd084fc2a0a42cd26d0168b63ab0
2d6a136c88ff8dd1c15a97aec5f5c1b00dd49eac,ff44de61883efd1de5706e930c55fa02e896901f,64ad32792cba3fb0d30a8eb781781e489f63c993,3b203cad54307c40abfc6af200c97c7f613cd78a,f87ac51aab2b38c5c1af3e033bd147fa80f4cbfa
409a0672d1c90a0211c0e2ebd9b43dce4d2bfe4d,f8eb9bd7852d7382c8f0433023293bcc1c9a4bd8,baac942515db3def3db57118ed1d997b6c1c4f50,ac04923dd08a5ace7d8a21114f0836390933270d,55e6c6c43b1653e75eb8fd3fe9e294023444e76e
058effa6ab85d3d75fe0b661f1ca88f16a0c01b4,29fcb012137027017b26992488d1e168cd08fe47,4e9490dde1e9a1fc43516227c88cd2d158e9d146,63dd54bfda7b68bac541183e23ca994095b2efb4,dd99eb8e36099697ec0390f8284e60952ea1f9da
460ecd763040145b0a964ca24b5801726cbc26d8,b7e1cf44027732d847f6a81f43e120282e325bed,bc86b5fd6f9a394607d2bf479a4f84192e505b64,cb5a0150d6f71b5f9bd26be03c334880ff2dd811,a766d56430ca050f7d4eeed227e0c5c2c075ef46
5818c0b33767f2b8ee57de0a9aae7b7361071902,7143bafc90d207515a3280faa5e897aee6062a52,8872fd038ca9d1e9bb57a46dafe533fa9e0f0295,7114851b5dff6028bf85da30bad0ba069144449d,a9218baf9e1a8dead97b5391705ed6cf5dbd2f46
74958a8415f76301a609f0757f48a5ee98215694,1a5ca2c3036c7fe2fdd195c1778fdfeb3328323e,42bf9d59f56c383855f830451b76f2d08925a18c,1ee7d3589d56597e3a719318eade26bffe1d9598,2c2a50060ca988bb73102b6038520d2a15924894
34568bf93ff445818f5507e240d572a1247993ab,626d47d0e2dad79bf58bacee1667e6a0b08a2057,74c02b178ee0a403e62edcda16fe146332db43f9,1799f2bcaef7da62d165493baca09d6714110c7e,c336c14e18c3ac87ab06493009281f50e103e0b9
bbaf79931c107f9f1717e8c870d5522a90a663f5,7d3adee24dbd5bb148151ea4dd109758220f6fec,9eb6726b732df57322d9ea2023f7181a6b2a365c,2fbf2e6ee731ef27d9540cbb1091d968b90d7f4b,16dd06833869d06f45f7a97e6bf855a5ba45addc
8fab4d81500c95948784e94bd655a63ce66d09ec,9b9b1ffe6b4ac8871d32feb7a8605c4b9594040d,2c9f504eb38b858f5ca05d2eb77c629a1896f2c9,29217c012a0a1ddce5f0fad1c779d2728a385be0,5bdeedfa065bc541374e21dfc1056665e02ae12f
9f3da2c1759faa0acd89151e77f709423d9afe4f,6798984eecc3fa1a2a1309d3fd1dd60f4c9dba89,37370a48c3db0489feedaa4955623e0e1c9c2fde,ea561835b5283ef3a99580f17ccd2168ac8597d7,996b998fbc7211de9d2c3f0b5b4ca83e94fe77aa
205dd1afa8bd0309d6f0831e92158caf05d130ac,121a41569bfb17d49784ed83d6922c0651039412,55978da89ab5a101c20f382384838bf7f3a6068c,0f6ebb3caa8a74de88cdc6e0a5785c7466c26421,28ce762409da7fbc6879b9d6c3451176fade0187
ffbbdb77eb38f1531cf35f2d501b5be283da1f91,bf48548290ef1ea6834ea727b91958f08f143b3c,0d59050f3a7a6034ac4131f290b81139e8e54114,8c85c693b9e937db0d074a9156a62c172c911d0f,12311d462ed685080ba3d427868c15a66d632c88
29062cdbe2ef36f7bc2051475bc155c992d3fb7f,46d63080f03ef03f60e95724d1a5713ee5150ae0,72b219986941441ac06e1a2bdfeaeca93104bd9e,85522b2c46bba67a3978c25bad94ef97631caa2f,14a72cefd6dea135d599a9640f7c6bf33b09ea49
11f48ce087b6405bb878f866d867ad44750cebe8,35fed8625c78c8e545a30ece196e39907b2b02e2,a6b21d4119a8904b78ed6f35d31dea5cee0653f1,4687e07a2bd9f40751fb037d925b55ef29e2f938,71c4014707ec9f0d563d479ccfb0ae0cbb5ff0c5
6fed6e88e19f5957c9f35ac7928bdfecdaed0c16,1cacb0c942e5408df42fdc7175777bb444630a81,ae3fb940852dde14052764514f6f22daa5a7f4f9,4ff5d6aa33ef5d03a843c236a1d29236dd1a247a,763f60abff1a875d36e42ac90b1c09647c6f8899
6970abf8f589717ff218e63905948f5698733653,dcb5b0b8ecc5b5959a6a3fc77b6c03def710a9eb,a98afcb2b6cbb0fa411b8ef3e5d52c1837b2957c,8a0a4473b14922edb413754bc7b602475aa51f55,eddf86df6dc568fb95befee939f4510ebc16b647
