"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
0ff8f390315decc29ef7b670d4ddac6e6f203d85,12d0b34ab9aba022dade421ee4a64b581397e853,28773c998eb630504fd2ffefe1f401c9538f44b8,988a65fafa66bdda465db20e0045096028227f81,5ebc6856f9c504607990e76accb5140f37d8f55a
7429488a04cb254933b95dd2f0460c148b9c0f79,09e0a105b5a5fd3836717464c4f16686262adb64,c0a2c0702dd9896173035eec1759c916880246c7,70b1357c78c942cabf39a1f2418e1840a4c5371d,7add29e6138b4602de47c341747920478ff427e1
3344e6e4e43715673c249ef5fb1f5647bb9bc7ed,4f0801d6fa93e1e0271c55f3e6a17fe46d06503a,fccb54be77644fd10abde32f1bf20627e60c9f51,14087eff437803d90925ade90d6b1795f72661ce,28ce762409da7fbc6879b9d6c3451176fade0187
e53fe18af56a2bdc026a96a66b10784a321ddc6e,c94f05ae958948ac9f47db364d2ae71682848dee,af2225227ac33eacc63ccf573cde9bc56a290207,0c1ee7e903fbeb43c78268133d5cd4a7642a2c49,b52889b45f04904e36102c1917466c292eedabb4
3c57b9f9b5bf6e43118738bc8267c8d1c9296cf1,de6483948e6ef8704e01eb68193e9b0a20f70b2f,d738b3b5f93f499c1455197bc1f3e3b3d49780f5,c4e7b229ce598b789b9dcbf33b2984e5ae22a702,5bdeedfa065bc541374e21dfc1056665e02ae12f
058effa6ab85d3d75fe0b661f1ca88f16a0c01b4,0313a0109a19376678e8d33ae470d798ff779e7f,64ad32792cba3fb0d30a8eb781781e489f63c993,cf9e57661e6616d0bdc4d04ae5acffc423bc51e7,a85ad1b3b093a0a8b11e1afde7f45e8770d92d60
11f48ce087b6405bb878f866d867ad44750cebe8,7d3adee24dbd5bb148151ea4dd109758220f6fec,b4ef0497d080055b5ab3f9996ada619d30cd19c3,caca38f318927645ea01b86e56ed90f947e5fec3,fa25b60d02c8b8c06cd92608a9c99c9a15979e89
0a3436d269003c9f01a535f99219b3d9bca588c1,9b9b1ffe6b4ac8871d32feb7a8605c4b9594040d,3e45ae1919fc9baad1aefe0335e3185a84607068,c040461f9a6388e0a8e370e84d74a5f87d9a7958,7aee8cbab435281165629443040201bb220254b9
34568bf93ff445818f5507e240d572a1247993ab,245b7fb2ff71f9d521ec199138e4ae5c47210ab8,4aa9310060070300730282a9af068ee10b4dc05a,428bde6722f884ba5864078b1fbc5806a5bf6ef7,991e0316f38004ec0dfd60f369290fb6a0aea0b0
3de545186c2a1e7d37986fd10636a5dd42213964,6798984eecc3fa1a2a1309d3fd1dd60f4c9dba89,1db971f5027553985ca21a577a28957199c0c95c,577f2923a65abe32be6ecfa36ed16260b311e7e6,0d6266348f4ad6b7e2830becdce08917dfba21ef
