"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
e88d6a3da1ad4b07686274aea923769c6fa34558,ff44de61883efd1de5706e930c55fa02e896901f,843b6de63c72c7f3c6d3abe7dd478b20c18484c6,4ff5d6aa33ef5d03a843c236a1d29236dd1a247a,2242df64c34fb4969508369f24dc096c947f4741
c5e20c2d46e1559aa9766bbc2ae882c9e8ceab63,8f9baf335d6819856491f2dc08e56ec1b335efe0,8ee94c5bdbb4dde3983099a34454e176c4e7fee2,7114851b5dff6028bf85da30bad0ba069144449d,a4564f628cd6c36ef6c630a9e679297721328687
0a38788834a0c165190a3ca82bd62a7a7c701c13,f1acea36698a28bb1ba7ba64c07219cfbe6de6c7,3d3a79b3bdf7a2ef9cb3b4b66db4736b71df6911,e0088ba78353bbd9a4ba59f4e2ead824d0b9aa83,2c2a50060ca988bb73102b6038520d2a15924894
0a3436d269003c9f01a535f99219b3d9bca588c1,7ac91df12467663e3774859c57cd5f91f394a1ad,a9f313b485e7e09cccfd2fc23de4d56fa7ad09e4,98df9f9f593997092e3394d96f9fdfdb58384164,7add29e6138b4602de47c341747920478ff427e1
3344e6e4e43715673c249ef5fb1f5647bb9bc7ed,bf48548290ef1ea6834ea727b91958f08f143b3c,9eb6726b732df57322d9ea2023f7181a6b2a365c,d202d18cd80761bd242100dbc8c2c2c05e8f1cac,8d61f777b2ce505665c3e192bf065088c4222189
fedf161eaa4f3200db307a54e689fd6afcad6ce9,13b21bc8aed17862f4f1a8932f97bcfa8f2ad208,131ef53dd15095b246592072b5a70e4841609b4d,9ab26b56e5d635309f2dc1918a5d2d7abe5b6b14,f87ac51aab2b38c5c1af3e033bd147fa80f4cbfa
409a0672d1c90a0211c0e2ebd9b43dce4d2bfe4d,0813a29bf7d1f76b9e45947140a94ac591b46bed,bc86b5fd6f9a394607d2bf479a4f84192e505b64,72297df50c5515f9bd977ac1f6a0fc1188e575b3,49ffb540bc6c3d82191ef570d1b34813091ccf90
d4183190d800c19a0a402e186c7d86ad451ce5d2,dda5df5a19bf2cf4fbde36f341b06cdf0c418a8e,5c2c1a3c894bb009741743ac994d5e34a130cace,cded17f0c5589562ecf6d83aa39589dbb00c6847,5ebc6856f9c504607990e76accb5140f37d8f55a
b0eb14dd6e2a301532a3a75f889df5c49b91557e,63689a0baaeadc4ba12227d091e12e7daeca157b,1db971f5027553985ca21a577a28957199c0c95c,b1f6d5ed9ee432711ed04e1485fdd94c9cb36bff,6f9ca20131144c7574953280b0dc7213aa18924c
559b3031044da364637c10bee828b1238b3e0a6b,46d63080f03ef03f60e95724d1a5713ee5150ae0,d1bfbbd2d7a1d6b7ac4e1b2eab841ebfbfe88c10,647b25595d7fe8b528720e61c4bc484e260c6e7f,bf75915c76605d0f86c2bec43f249647ef6fb1a9
16f1f10ba839fcd31ebb431c9faa1d0062502547,ff619ff36e35409a65b3ffe1203b2cd5981f86f6,e531621aa6f906c333c390c413146b7ba0bdc4b5,c12d80565ce639aa56e9608922e80aea602ae681,0d6266348f4ad6b7e2830becdce08917dfba21ef
0e0c5173d1e9427e8f62487a3421d30a2ab99ede,01e8c60d3eb4a1f57d772803775aa5f9d7db9faa,28ce43a7dc1703ddde0d0eeda7be1844f49c70e2,390f1e00f660aa5c2e46fab59f7b81632cd77bb0,1a267b880390b9bb5a1e90a292f59361a039cd4c
ecb496c69fd7a63623ca1a2235658eb084c3eb3e,2beb3122daff838ba796f1802ba8d30f6d7de3dd,e9e2c69e960ff254137fd17aeb1d5576457a28e3,54b1a18ac2b97045bf99e7e5d4f73904ea2be7d1,a85ad1b3b093a0a8b11e1afde7f45e8770d92d60
205dd1afa8bd0309d6f0831e92158caf05d130ac,b22409537047f6aacf251fd166e1a93d5a9ccf2b,748687fd81b0f478e066380807f83129e51d00fd,9bb91b9c2005eebd3662e0396488f668865b8ab1,b138a39c8d92b985547d187047b247337cbf90e6
fbaf618e48ef87a87fbc5628231c06ef024ac972,85e23f341a78bee7c19c4f4d364cfb58909fc10b,38ca8f73a735f1f223c07b72124c82b509277ea7,8a29414ed17ab7c224d417b05a23050af5db529b,74a0acb3f2c48ed859d5a6875d3b24ef3101cfe5
29062cdbe2ef36f7bc2051475bc155c992d3fb7f,9d70ee121182d0555bbc3502919ba10e9f188857,3387c74f907c84beaa4c46389ef6689846dd7242,ea561835b5283ef3a99580f17ccd2168ac8597d7,f43f52d5912b32f2bfc292c611c3bd44f7c58202
d5e5a05c926d9b8886f90fe8be73a9ee9f946228,0313a0109a19376678e8d33ae470d798ff779e7f,5bec270ade2129ef0b94f7e003e17829e8d9f9ca,378cac4bff4b8aa691722a54cc5850cfa55513c3,c6ec5ed00596b271c9f4ee91555b58a6d52924d3
775504ca376f77de9fe339e9050b185453b290b6,117b0603f10baaf2fc827ec75614373f77b88389,b7bcaee33d978c981289f6c9f9559d2f40df9628,51a261e8e6813cb8989fce148060a9bd040f0186,b76198bc25c30b5f2056ef9461f35cfaa7684195
