"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
6d2a894ee685e61bcb82d77a9269451aa1fc2648,86351341da3ca1c6e963975bc503c64ede458dbd,fbfcea98fa29e169769ed51bcda2cb4fbcf16159,6295a9480802448e3fc78043a1b08a29e756afd5,f4c1756368e4b1e68715788a4450400839738209
74958a8415f76301a609f0757f48a5ee98215694,373ac9f009881e69ba4225027b90599070c2ac55,64ad32792cba3fb0d30a8eb781781e489f63c993,c3cda62d830076c489c182debf36929c2b2d2e29,4f052caf73aa8fcce679e738320976e6400fded7
daeae4d2e83ea31803d1ce74443afb02217a91b6,20be66083a054854e3346aaaaaf56743c39a966b,fa60a543cd6938bceda8b4750272c4853d795a71,54b1a18ac2b97045bf99e7e5d4f73904ea2be7d1,12311d462ed685080ba3d427868c15a66d632c88
f51b29c6de9edfd200bad1cd22ba71ca1fe78df9,c20f2014fc0ac4ccaed2f8dfaabda3e24061c05a,9eb6726b732df57322d9ea2023f7181a6b2a365c,e08bb9d1d6253ca6df9965fe4d0c6ec2458a63d2,c8fdfe686db47cb7b707196f5c348bd99e09a64d
d877291602680fb7924ef8cfe6ec9b0f06122df5,117b0603f10baaf2fc827ec75614373f77b88389,b83e775bb4efcee91b21a7a9eed60bd2b052222b,5b5970086dccf263040e1e0d1ec54953e14708e3,deb3b213dd820174a1b9fe408c375c04b9a38219
37322ee38ea07818ad5fe4a408588c9142cf5ec2,7ac91df12467663e3774859c57cd5f91f394a1ad,2c9f504eb38b858f5ca05d2eb77c629a1896f2c9,e0088ba78353bbd9a4ba59f4e2ead824d0b9aa83,1b3ec878998fd508bb4ca229ce2f676ddb982465
e68bf25fb630b97961dfa0fa07bb4e53f042a983,ac15950856f9d83970336da17d2987cd877de3c3,f1e03f9c826ca865cf0a5ff64b49b42ab479913b,1799f2bcaef7da62d165493baca09d6714110c7e,9a0b11db52b1d68ff67e00eb55d8385f4c3da106
a921c8bfa56840ded3439998403d1dd436e3bc73,09192068c951050fbb42f01a9e04f2c3fd9c31bf,09b4b7e33e0ab2f7b927330924757623bfd12009,ccacd47b1a0283b6df8798f91a8a2b8f0f5507a3,7aee8cbab435281165629443040201bb220254b9
460ecd763040145b0a964ca24b5801726cbc26d8,172e5056d9216359e4e024fe9d7b9fee2dab2ddb,d1bfbbd2d7a1d6b7ac4e1b2eab841ebfbfe88c10,7232f061fb5fd0cdcfacb90d498dc5a5ec864c95,3c01772b8f5062c0b0c6c65b30b3c70b6b5def9b
252583d3d6d13f20e196e79155c0c84228b4cb69,121a41569bfb17d49784ed83d6922c0651039412,ef8cfc8f55870d8c3ba921d51d7ee38e3824dbce,8c85c693b9e937db0d074a9156a62c172c911d0f,052bb6f8d7cc6278ec70e5e93c3dc24efb23daa7
d5eb5fa249269e4b5a21594643b8f2a8c144f0a6,b22409537047f6aacf251fd166e1a93d5a9ccf2b,e7175f18b4b7cd64b3c9b93faf49fd6bc34d0227,ea37cfc8a616fca98878f081b4cc4a966b94c571,8177b2195abe85e5e4b562f94c6bdcac325f5974
c5e20c2d46e1559aa9766bbc2ae882c9e8ceab63,7d3adee24dbd5bb148151ea4dd109758220f6fec,ae94c2df198f451813a5e5d228a228bbb1549697,dc999aecc101a09fc751f134a7ea263c6cfad9e6,2a7cb0aa0f5f9d995a4480782da586306fdfaae6
f311451f2190e9aea7c91d7a62222325e4887666,3668006c856b56f8501612ea2fc16658fbd12f57,448b3c3ed290872cb3dee80a46b907ad77f2cea1,8e5476467d8fa2df531b43d6d098dddc13198345,bf75915c76605d0f86c2bec43f249647ef6fb1a9
b36e2a08b0394a72d9d33e83477d14dbfcc00e6f,d711aa5f5a91a1d6f36a83462b78f46a917f4144,e9e2c69e960ff254137fd17aeb1d5576457a28e3,1b69ff5d90711863cd1acc55397abadb032e0ac5,37f776d9b70ed7dbedfd789d0e9fd8441f0e0ccd
f9a2d2cef52f3063bdf042bad97d9a6df5ca205a,5e7dab9a830aa01f44fb122ef5cf223fc33074b0,e531621aa6f906c333c390c413146b7ba0bdc4b5,6d90c1a86d96c6a4ff05139011856e894ea6593f,048a09640273a9529ad8619911dd9732320997ac
0ff8f390315decc29ef7b670d4ddac6e6f203d85,bf48548290ef1ea6834ea727b91958f08f143b3c,5c2c1a3c894bb009741743ac994d5e34a130cace,3b203cad54307c40abfc6af200c97c7f613cd78a,fa25b60d02c8b8c06cd92608a9c99c9a15979e89
9fd63aeb21d254175c028e1f631b4ba8ec17f00b,9a629209cf4cfaf78e3eb35dfc333a37ca72b2c5,1b75ec9b2d9aa2d2a6e61c644e0b59df73b212ab,98df9f9f593997092e3394d96f9fdfdb58384164,20ef9112cd3dc6e0b655932ca5a61dc398217653
