"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
ffbbdb77eb38f1531cf35f2d501b5be283da1f91,bb4f812bbc12bb4a0d8ba31b5c83bafdfea6b388,baac942515db3def3db57118ed1d997b6c1c4f50,5f12bbe9365948ee5181556af1ace9bcf09c1dce,bf8f7853609620ee69b88e1f97d91099e1255c6d
f9a2d2cef52f3063bdf042bad97d9a6df5ca205a,172e5056d9216359e4e024fe9d7b9fee2dab2ddb,3e8a2387d29b98cb8e1b05f66da0f49716b468b6,dc999aecc101a09fc751f134a7ea263c6cfad9e6,8580022e23e9aeb76278624ecd5a04ebbfef06a4
9881b4601fe87d06c1a4afce4675d82abc79d734,55e961c60234d5843159fc65389e200dea5c0ee5,22f7ece032f454beda3b722bf9d6796dbaef17a0,a2d1dd5f4ec3318be26e7186cbf3e46159695136,4026ba65d5156435e6903326d66402e4cac2b356
7429488a04cb254933b95dd2f0460c148b9c0f79,caad7cc591d3d86355033b928992f79b7ed682bd,55978da89ab5a101c20f382384838bf7f3a6068c,0918703a4292366e349edab8e5926fb58fa0dc0c,de0f0e2ac01c97368c2efd0928f6b3462794cf80
409a0672d1c90a0211c0e2ebd9b43dce4d2bfe4d,245b7fb2ff71f9d521ec199138e4ae5c47210ab8,a6b21d4119a8904b78ed6f35d31dea5cee0653f1,63dd54bfda7b68bac541183e23ca994095b2efb4,6a997c32e31df007c2e33304a4949682dd92b215
252583d3d6d13f20e196e79155c0c84228b4cb69,06c1ba2e498fd004ecdf16419796ccd940a74a45,6b8576a5c9d04e3dc707802b5bf40474cf61c25b,cfdf3573d52bceda6006e9bba99d2ab216b84397,bf75915c76605d0f86c2bec43f249647ef6fb1a9
15c6af89f2439439f248a9632af0cc8061752ddd,13b21bc8aed17862f4f1a8932f97bcfa8f2ad208,09b4b7e33e0ab2f7b927330924757623bfd12009,8e5476467d8fa2df531b43d6d098dddc13198345,df57755695aa572a26db94b9a2955c2721f2ee41
b0e65f32b7cb2d3d72a588be134b02afec79319e,eaa9f33c91ae4efb0c9b1b787ef6aa6083a9d6c5,b7780930478f861d7497c94765cc112e5cd28c2c,025232144db377a6b4aacf549d3d99b2b0b1ae86,80372ab6183a0a81e0511e2989eb732f043d8a30
559b3031044da364637c10bee828b1238b3e0a6b,9060cd2a6d4104b5b6fb0cae7731a5fa16e1eca0,d1bfbbd2d7a1d6b7ac4e1b2eab841ebfbfe88c10,f6f0db1dc3b2560c52ee09eff0a2b61e02b0c9be,98af7088a92bbce3e913acab594ec8fe6469eb26
9bce5c60ab89e7fc64ecb304966ff4cd7ae94cba,626d47d0e2dad79bf58bacee1667e6a0b08a2057,d738b3b5f93f499c1455197bc1f3e3b3d49780f5,e7755564ab5a2e8f01329cf5ee3fe5810ed14186,2405629ff6ce266bc1c1ab70804e5558f0d993ad
b5da3a75bf2fd88efbcd68549841dcc71c8dced8,373ac9f009881e69ba4225027b90599070c2ac55,8872fd038ca9d1e9bb57a46dafe533fa9e0f0295,14087eff437803d90925ade90d6b1795f72661ce,a766d56430ca050f7d4eeed227e0c5c2c075ef46
6fed6e88e19f5957c9f35ac7928bdfecdaed0c16,4f0801d6fa93e1e0271c55f3e6a17fe46d06503a,bfb734f4d9c683c60ebbfbc9898f7b011bc4d8d7,c040461f9a6388e0a8e370e84d74a5f87d9a7958,4f052caf73aa8fcce679e738320976e6400fded7
4a4cfb475d51bab1edae640163105407cf807c7a,cbf9ce20003b1c285cc795ad5d655eed06539d27,ae3fb940852dde14052764514f6f22daa5a7f4f9,24aed2e14f3329ebeb2eb81d73c0e6737b943d2f,16dd06833869d06f45f7a97e6bf855a5ba45addc
59c60be2bd8273cbf3860199faf6e027f6236880,8f9baf335d6819856491f2dc08e56ec1b335efe0,73dc0c662fbda29921d3c7223ebf56b6eabc51ec,54b1a18ac2b97045bf99e7e5d4f73904ea2be7d1,ec22514fc686ec34154062e2762b827c640f85bc
d877291602680fb7924ef8cfe6ec9b0f06122df5,31140a1570e859f291453b60f23c5e223ccaad2e,4aa9310060070300730282a9af068ee10b4dc05a,c4e7b229ce598b789b9dcbf33b2984e5ae22a702,28ce762409da7fbc6879b9d6c3451176fade0187
8fab4d81500c95948784e94bd655a63ce66d09ec,1df2686b4d0d17d748682e839534a93ecfc5244c,98ae0eb151deeb89781a19ea5a10db1df196187e,1799f2bcaef7da62d165493baca09d6714110c7e,f43f52d5912b32f2bfc292c611c3bd44f7c58202
e88d6a3da1ad4b07686274aea923769c6fa34558,2b5f007db519d2e8729d67a725a43c58709b6f6a,e90cacfaa983bf34ab64d315e68e7b19a512a978,390f1e00f660aa5c2e46fab59f7b81632cd77bb0,19a3854c361cf8c9973912805cd4622b68313787
205dd1afa8bd0309d6f0831e92158caf05d130ac,180c3be9dac01ca5ff6b89a596589dd8b215ba9f,3387c74f907c84beaa4c46389ef6689846dd7242,cf9e57661e6616d0bdc4d04ae5acffc423bc51e7,f903ce32ba742030628646543390c9886ef6a349
618364dd5ce90f62c3ae571a3c372aa94b0c6074,b9544a8be254a574db2a462c99476d6dd2757f4c,64627f7da49812ca1dec5a4d73defcbdb9e765d7,1343ae97039b3ac6f6d622fed461ccf36c28f7e1,eddf86df6dc568fb95befee939f4510ebc16b647
59392f1c597e7a1fc8bbad2cad3f61a374333bfa,281d0945583d84de04c6edd4d95d1f9f802f5fb6,9d7291a8d8c89689a4f89e85cb6ba44505e8f4c5,ac04923dd08a5ace7d8a21114f0836390933270d,c6111bc73df2bcd6686989a1534a5fd35f3d9c85
cfe8fabc4fee069f7ff65e3e78190bae50e22a0e,0f18235d84c47535d237f96c9a1bc8d1ebe82897,a9f313b485e7e09cccfd2fc23de4d56fa7ad09e4,ba017117b3a3741e49052af3e1fb546db58d48de,af50331dd2f8d8d46b09e5f769134e24068971e0
0b442afaceacb918c4a0f601ab7d1c0bb7105769,cbbfc36042bc691236ff84c6e8ad96e7a927bd84,ef8cfc8f55870d8c3ba921d51d7ee38e3824dbce,d202d18cd80761bd242100dbc8c2c2c05e8f1cac,2c2a50060ca988bb73102b6038520d2a15924894
ba0f3f5997507376bce9e4b968a98aff72c75edf,9a629209cf4cfaf78e3eb35dfc333a37ca72b2c5,70f571c8489b77a0b9d6a5e3954ae2e5c7459e6f,b6a7db0305b57826687fed5e6aa0ff92e695ccb9,f87ac51aab2b38c5c1af3e033bd147fa80f4cbfa
3dac3978bae838d5ef42844cd086fa995e98e5c4,d711aa5f5a91a1d6f36a83462b78f46a917f4144,b733efbc7f55acb8f2d7db075c7f2161e27faa77,3c5324d33d8787858658b503fe29925b69527d1f,f4c1756368e4b1e68715788a4450400839738209
74958a8415f76301a609f0757f48a5ee98215694,12d0b34ab9aba022dade421ee4a64b581397e853,e7175f18b4b7cd64b3c9b93faf49fd6bc34d0227,45668d211a331afc727620fb2898c558fa836f99,71c4014707ec9f0d563d479ccfb0ae0cbb5ff0c5
f311451f2190e9aea7c91d7a62222325e4887666,9d70ee121182d0555bbc3502919ba10e9f188857,c361beab63f12b9cc1d8e767a5d16ae4b573eb0d,9bb91b9c2005eebd3662e0396488f668865b8ab1,499b2972e5384c0c43bdec0804effeb86b830045
0ff8f390315decc29ef7b670d4ddac6e6f203d85,ff2803078c78a674dd322d2db10a668354e7ef84,38041418a0cc2b552a3cced285d39abf205ae738,3c6a589648d39e08f380c34e564268ced226330f,f9af1db80ee9d7e45ee734e4d87d9ec28a48a99c
daeae4d2e83ea31803d1ce74443afb02217a91b6,b22409537047f6aacf251fd166e1a93d5a9ccf2b,283dce0248fe74304b6764fc73219f06931151fb,77d1b3ff2e68a17151379f734b398d16ed96da3e,ac6f07b173ccbcc97dfa9a17fd5a6b26750452f3
8b30272957cd3f5597725759deda175c385d0476,3668006c856b56f8501612ea2fc16658fbd12f57,5c2c1a3c894bb009741743ac994d5e34a130cace,807db7e5850c63f2a92d322878ef358a0579316e,deb3b213dd820174a1b9fe408c375c04b9a38219
6970abf8f589717ff218e63905948f5698733653,946a2dbeac24af17d25c14feec0952b63e46a2b5,c0a2c0702dd9896173035eec1759c916880246c7,31fc09743f435b04c9a8f8e52283c810ef511007,8f81501769f8744ac344e2c3f616397ef794ed9f
0a10b8f7b8510b5773464159a713e0fb90416fcc,7be4f0e44b3234c3f6b022ccae9d698d20f88704,74c02b178ee0a403e62edcda16fe146332db43f9,8b7b207754e94e8a7932b7f1916a61a0f324657b,2d2ff59a9f18dd084fc2a0a42cd26d0168b63ab0
246c19d7f513c0ae126ccc3643adf6843f2c670a,b1360bf4feb8612572075352153068f9f3f7f283,23bc12e4942ba850ad383f2cf9c1b7562b3ae142,126f9f5499d7ba53d4e9614e5cf91bdbab5431a9,f911fdeb03ffc24ef553dacdfe6fc5338b270965
ceb543cac98796aa6ce45bf8c2e409aa8571efaa,dda5df5a19bf2cf4fbde36f341b06cdf0c418a8e,1b75ec9b2d9aa2d2a6e61c644e0b59df73b212ab,29217c012a0a1ddce5f0fad1c779d2728a385be0,991e0316f38004ec0dfd60f369290fb6a0aea0b0
bbaf79931c107f9f1717e8c870d5522a90a663f5,cb04dea368705810f4870d182f6c7d6c51f5f535,f6ca86668aec14c9f9c995edc6cc6b3e5717f597,aaef3a9840b909d63cfbd62cf034a9c68ed5af68,b52889b45f04904e36102c1917466c292eedabb4
b36e2a08b0394a72d9d33e83477d14dbfcc00e6f,b83747a7204842bf5dde148af300b1d6bba5deb6,64ad32792cba3fb0d30a8eb781781e489f63c993,13bc74278d91340b6dec4a94ccc9e079daf90c91,048a09640273a9529ad8619911dd9732320997ac
9f3da2c1759faa0acd89151e77f709423d9afe4f,08277f646cc149010888662b317641317e257c2f,009deb4a9be07ab285295d653b33b1f2d2b488bd,577f2923a65abe32be6ecfa36ed16260b311e7e6,fa25b60d02c8b8c06cd92608a9c99c9a15979e89
634e924f1cc73bf8fc0d109519c2e067305a15b9,c02419f1be038f0ed45e47a62ddfd876cd714f74,af2225227ac33eacc63ccf573cde9bc56a290207,b5f1c189df66a0cba3d2eb01c587ecc59958316c,9a0b11db52b1d68ff67e00eb55d8385f4c3da106
d91cc5790a05b7f842eeb3c9c3420e2ad7dac8c4,297e3ab4801cb482b7d932368c9db9b8d17dea33,a1820fb94d8e32b6050c4dce6b7b7e3a9c6fe943,dbfba2267309fdc05594ccf0de415c82da6d8e7f,5ebc6856f9c504607990e76accb5140f37d8f55a
6de44c0b32f5c743da7f99344e4aad7c2db0ccbd,2beb3122daff838ba796f1802ba8d30f6d7de3dd,38d4536e6ef8ee47a9755e292943f8d4b84cef32,ccacd47b1a0283b6df8798f91a8a2b8f0f5507a3,2242df64c34fb4969508369f24dc096c947f4741
5818c0b33767f2b8ee57de0a9aae7b7361071902,f8eb9bd7852d7382c8f0433023293bcc1c9a4bd8,23b53f108cb025653ae35f99f1b0ed889f2e0e13,4ff5d6aa33ef5d03a843c236a1d29236dd1a247a,2566a03d6e79aea646f949669c052ec0f2268686
729f0fedd6afac6ff81bc24814c46c3198a8611a,121a41569bfb17d49784ed83d6922c0651039412,37370a48c3db0489feedaa4955623e0e1c9c2fde,70b1357c78c942cabf39a1f2418e1840a4c5371d,793e44a2692b679a4c4dd4722adff2f023e178ba
eb455534e49abd2b553b1122c3c484ef3c5af580,c9b96a721fe9ea039e5928a258b16373528c534f,5c64d530ef532dd72070cea650ce20cf1ef36e30,23bc0e98fa82077361c9419f11ac3f907fb3fd06,e109f0fb778a4d62cf023ff85590147186c3f21f
058effa6ab85d3d75fe0b661f1ca88f16a0c01b4,dcb5b0b8ecc5b5959a6a3fc77b6c03def710a9eb,2d6693dff4b4a0c11e8c9e6369ea8edaec174521,9ab26b56e5d635309f2dc1918a5d2d7abe5b6b14,a9218baf9e1a8dead97b5391705ed6cf5dbd2f46
b9758771727559a8f8016156f8d60ac186c02752,a19e5c8a7cd9dd00aa1b983961c193d8a7e13f7e,0d9ae30c25fe800f7a0420d49ce15122e0b2d201,b7203a478818c205dde5b144d8bdeb81e23e99a9,c8fdfe686db47cb7b707196f5c348bd99e09a64d
cf5c776efc2546479175522fa190bf5be0942a53,055895bc9c2d0d97513e9e43c21758346c0fe223,6ec90d9db99263364e1b3ce6cdd5a294bfad4c4d,8a0a4473b14922edb413754bc7b602475aa51f55,fb18391ff22567054859a3f4f7f5bef261d4af0c
