"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
8fab4d81500c95948784e94bd655a63ce66d09ec,cbbfc36042bc691236ff84c6e8ad96e7a927bd84,28ce43a7dc1703ddde0d0eeda7be1844f49c70e2,7222b738adee406678f28a2328f286461548ebc6,ac6f07b173ccbcc97dfa9a17fd5a6b26750452f3
eb455534e49abd2b553b1122c3c484ef3c5af580,b22409537047f6aacf251fd166e1a93d5a9ccf2b,38041418a0cc2b552a3cced285d39abf205ae738,3a5c24746a5be790313f803af7eed971bf29188d,8f81501769f8744ac344e2c3f616397ef794ed9f
59392f1c597e7a1fc8bbad2cad3f61a374333bfa,e3897ea0cf4cd3ea82d84c206622069141cef5d0,3e45ae1919fc9baad1aefe0335e3185a84607068,1343ae97039b3ac6f6d622fed461ccf36c28f7e1,49ffb540bc6c3d82191ef570d1b34813091ccf90
205dd1afa8bd0309d6f0831e92158caf05d130ac,b305115800e30af9fc35e529fd124e487cbc2cb2,2b50e07a353efb2895ffea716da0d5a7a438eec5,cf9e57661e6616d0bdc4d04ae5acffc423bc51e7,16dd06833869d06f45f7a97e6bf855a5ba45addc
b4ae113175e2d978032cd2c7b9b0bd2cc3dec214,4763a35e4b866bafd0c5f8df62ce675967f07fc8,37370a48c3db0489feedaa4955623e0e1c9c2fde,4687e07a2bd9f40751fb037d925b55ef29e2f938,3cfe66054e26e4ac9f375de26f686818b6b1a6a2
f51b29c6de9edfd200bad1cd22ba71ca1fe78df9,ac15950856f9d83970336da17d2987cd877de3c3,b733efbc7f55acb8f2d7db075c7f2161e27faa77,4cdd1b21d93eb293bb8b8e3a8d3e876afc030dbd,4cdfc3a87c838cff95c1a313c31368a2e3e41af9
b0e65f32b7cb2d3d72a588be134b02afec79319e,297c935eab823349ea3be8501e874dc5b4b8c7a5,c787f46d03c2ef5cc885bb495ff89523326030d2,025232144db377a6b4aacf549d3d99b2b0b1ae86,bc6e3875a29e1aa961de476e6f749327771ab9e6
59c60be2bd8273cbf3860199faf6e027f6236880,3668006c856b56f8501612ea2fc16658fbd12f57,283dce0248fe74304b6764fc73219f06931151fb,3c6a589648d39e08f380c34e564268ced226330f,8580022e23e9aeb76278624ecd5a04ebbfef06a4
3c57b9f9b5bf6e43118738bc8267c8d1c9296cf1,734250539acd6da78d4192d9f414d983bc1796e5,c361beab63f12b9cc1d8e767a5d16ae4b573eb0d,988a65fafa66bdda465db20e0045096028227f81,1eaffd79bb8721eba5b743c6c58ab82000d6db0d
eb409b5d3ea0d11122d1f7c5d1764574ec745ea4,dda5df5a19bf2cf4fbde36f341b06cdf0c418a8e,5c2c1a3c894bb009741743ac994d5e34a130cace,ce1b581a648ac13736bfb442e7cd141b0b546a3e,6f9ca20131144c7574953280b0dc7213aa18924c
74958a8415f76301a609f0757f48a5ee98215694,8f9baf335d6819856491f2dc08e56ec1b335efe0,42bf9d59f56c383855f830451b76f2d08925a18c,8a29414ed17ab7c224d417b05a23050af5db529b,99d0a97bf1d5ba86111e7d996e6775a0e374cc45
0cff1b73ca46435d62efff34d2c7fbb889d36242,09e0a105b5a5fd3836717464c4f16686262adb64,bcf1b06053798afd97f9d2ffd88f1519b681abf5,c35b652082303b524bff09207fca58c802804a5e,ec22514fc686ec34154062e2762b827c640f85bc
b8a549ed6cea8e930afcc0dfc4d53d9490216c40,ff619ff36e35409a65b3ffe1203b2cd5981f86f6,206495c3146ab5b978b25a5b52bbac4850def81c,8c85c693b9e937db0d074a9156a62c172c911d0f,07d855e9737ef878bdcf53e49c276a3e73c1e5dd
252583d3d6d13f20e196e79155c0c84228b4cb69,f4cc01d95befcd546f10bc55e5ad5f4755dd9300,2d6693dff4b4a0c11e8c9e6369ea8edaec174521,b78d835ba34d00f7f8dfebc8a829c426da1d37b4,793e44a2692b679a4c4dd4722adff2f023e178ba
6d2a894ee685e61bcb82d77a9269451aa1fc2648,e237b71256d9cb0d9a6f869eda967b72ffd5fb9e,ba48818833df5e29f7fc2e281af9eadc031f4c53,b7203a478818c205dde5b144d8bdeb81e23e99a9,d576998ed040bfbc3f9e9758e26e59f568e31843
0f894303b6187e39ba751a9eadaf581b0b84b7b2,b502039484334399d3039f3e43b64d4f821cfd32,8ee94c5bdbb4dde3983099a34454e176c4e7fee2,c4e7b229ce598b789b9dcbf33b2984e5ae22a702,3f9ed4ffc3f76ef064ce200088a64c90059b6d21
d17940d88fa9f304b8ff692844765f48e0c44308,b83747a7204842bf5dde148af300b1d6bba5deb6,22f7ece032f454beda3b722bf9d6796dbaef17a0,577f2923a65abe32be6ecfa36ed16260b311e7e6,0d6266348f4ad6b7e2830becdce08917dfba21ef
3dac3978bae838d5ef42844cd086fa995e98e5c4,f1acea36698a28bb1ba7ba64c07219cfbe6de6c7,fc4b0bacf762a2a50bbddf61832a8adad94a18bb,85522b2c46bba67a3978c25bad94ef97631caa2f,a85ad1b3b093a0a8b11e1afde7f45e8770d92d60
b9758771727559a8f8016156f8d60ac186c02752,01e8c60d3eb4a1f57d772803775aa5f9d7db9faa,a98afcb2b6cbb0fa411b8ef3e5d52c1837b2957c,cb5a0150d6f71b5f9bd26be03c334880ff2dd811,515d57b1f1b7cc572ca7a164f46f14f2b6863033
410223d46c0d5fc107f176f19ce4bf7ac452e664,9a629209cf4cfaf78e3eb35dfc333a37ca72b2c5,31c7ffdaff511843782b46fbcf3715ebc03ef407,807db7e5850c63f2a92d322878ef358a0579316e,996b998fbc7211de9d2c3f0b5b4ca83e94fe77aa
729f0fedd6afac6ff81bc24814c46c3198a8611a,be654ba967fa78a97b8cdbde56955556deed381d,b0b9ced6883932f76b4d0012caddd1ccb2bd15a4,395716c3c1f3a8034b9300e9dcc12e01c7575eeb,2471ead4c2a27f7d70592553037776ed842ccad8
6ed1304bfad1aa597531cf9ffd195cce555dfea2,2737ec1aa9f0327e1cfca8cd07ef146100638c72,fbfcea98fa29e169769ed51bcda2cb4fbcf16159,8e5476467d8fa2df531b43d6d098dddc13198345,4de55b773e158c2a3f95528b798859b67a48c38b
ba0f3f5997507376bce9e4b968a98aff72c75edf,acfdcd57fa1aa0ccb1698ba298d2d668ca946226,448b3c3ed290872cb3dee80a46b907ad77f2cea1,c3cda62d830076c489c182debf36929c2b2d2e29,5ebc6856f9c504607990e76accb5140f37d8f55a
7429488a04cb254933b95dd2f0460c148b9c0f79,716b8ab1813776e0771b5a9c5e5d7208876570a2,0d59050f3a7a6034ac4131f290b81139e8e54114,dbfba2267309fdc05594ccf0de415c82da6d8e7f,dace6a75b5203db0163ad111a9d75986299aa793
5b189cd962a5d69a16c706338e845a7b5f353efb,7f40cabc466b2ebfda6572ed1a7205b85a6624ec,4e9490dde1e9a1fc43516227c88cd2d158e9d146,378cac4bff4b8aa691722a54cc5850cfa55513c3,c8fdfe686db47cb7b707196f5c348bd99e09a64d
8ef4b6fde8a1eec0852e1903883e69c2189ff0ea,4f0801d6fa93e1e0271c55f3e6a17fe46d06503a,4aa9310060070300730282a9af068ee10b4dc05a,e08bb9d1d6253ca6df9965fe4d0c6ec2458a63d2,89020f93526c4f5a97f5bde437d7251beed910de
0e0c5173d1e9427e8f62487a3421d30a2ab99ede,7be4f0e44b3234c3f6b022ccae9d698d20f88704,6ba18abaeb8c5f0d9f829edba30e3bbac0f0de0e,3b203cad54307c40abfc6af200c97c7f613cd78a,052bb6f8d7cc6278ec70e5e93c3dc24efb23daa7
d0f13adfa446d7398019ef9ed0bf16a8f49471d9,d711aa5f5a91a1d6f36a83462b78f46a917f4144,a4775b678e2fa17717e789a314e3ccd63ee2352e,e0088ba78353bbd9a4ba59f4e2ead824d0b9aa83,322bb39617a71d36c14ba2a9746f97f1bca7a40a
e68bf25fb630b97961dfa0fa07bb4e53f042a983,b1360bf4feb8612572075352153068f9f3f7f283,ae3fb940852dde14052764514f6f22daa5a7f4f9,e7755564ab5a2e8f01329cf5ee3fe5810ed14186,2405629ff6ce266bc1c1ab70804e5558f0d993ad
ecb496c69fd7a63623ca1a2235658eb084c3eb3e,d31a0013d1ae6d03cd47628f35a0936945588e0a,5c64d530ef532dd72070cea650ce20cf1ef36e30,7232f061fb5fd0cdcfacb90d498dc5a5ec864c95,9a0b11db52b1d68ff67e00eb55d8385f4c3da106
bc0c46578c44bf440177e9a998bd90133d27e398,c02419f1be038f0ed45e47a62ddfd876cd714f74,421c16b918459bf3aec42e1ed9cfb0dd8a385138,457f56b0e2f88cb35b31b2072d35ff2797513f11,a7923e873d065c71a8ddc2250481361248959ca6
0a38788834a0c165190a3ca82bd62a7a7c701c13,55e961c60234d5843159fc65389e200dea5c0ee5,f4a39d78cd038f6c28f00f40ae63a71f2e3003a2,30a0c1efe04822f908e4bf3388c467c2d646b471,3854e1d1260df74edb258d57f869eae9193fdc0b
4a4cfb475d51bab1edae640163105407cf807c7a,cb04dea368705810f4870d182f6c7d6c51f5f535,3387c74f907c84beaa4c46389ef6689846dd7242,cfdf3573d52bceda6006e9bba99d2ab216b84397,991e0316f38004ec0dfd60f369290fb6a0aea0b0
5697b4d9b1325556d6e6043e684a2fc789e10cc4,281d0945583d84de04c6edd4d95d1f9f802f5fb6,5bec270ade2129ef0b94f7e003e17829e8d9f9ca,14087eff437803d90925ade90d6b1795f72661ce,bf75915c76605d0f86c2bec43f249647ef6fb1a9
cf5c776efc2546479175522fa190bf5be0942a53,0313a0109a19376678e8d33ae470d798ff779e7f,df27749d70c2a3e04f58102ae418d8cbc98bd613,647b25595d7fe8b528720e61c4bc484e260c6e7f,048a09640273a9529ad8619911dd9732320997ac
e1fa2fae0cb6b293530d89d99bc806da83fcd02a,59bb1b6fa22aa339e2c9063433af1181d4f277b6,d1bfbbd2d7a1d6b7ac4e1b2eab841ebfbfe88c10,0ee71a518b99549ef86efa5579d66baf40c48c16,c6ec5ed00596b271c9f4ee91555b58a6d52924d3
46f740ce706459ec3c8861065e0d24b99ac525d1,de6483948e6ef8704e01eb68193e9b0a20f70b2f,b4012828cb0a5187f0b4134f58aea9ae232db32f,72297df50c5515f9bd977ac1f6a0fc1188e575b3,0ab0c3ee94253467cd96d4580c0ab9868fc7936c
24e3ca7f0ccb8ba973351f3639dbaa11587b3ea3,573f06e0a5aab73e302fa122f6e8853bf4396300,df7931173169feabff52be123ba65ab7f54091ef,5d392d57c5c3c1b405eb40320ca9094704144109,f903ce32ba742030628646543390c9886ef6a349
8b2918e6bc122c9febfe05b975ee9015bf17bd2c,8aa5ea033dd729c20ad3e2f11f09452696935553,af2225227ac33eacc63ccf573cde9bc56a290207,23bc0e98fa82077361c9419f11ac3f907fb3fd06,4d50dabd9a66438270549a9a3c4aca1a12c857d2
39247c5d59fb01470042898de2e64b323fbd2638,caad7cc591d3d86355033b928992f79b7ed682bd,bc86b5fd6f9a394607d2bf479a4f84192e505b64,c3d59549c00466fceebdf70d3fa4127e31cd105d,dd99eb8e36099697ec0390f8284e60952ea1f9da
29062cdbe2ef36f7bc2051475bc155c992d3fb7f,e8dc389f1fc6116096b1596ab148601ca1477619,a1820fb94d8e32b6050c4dce6b7b7e3a9c6fe943,5f12bbe9365948ee5181556af1ace9bcf09c1dce,8177b2195abe85e5e4b562f94c6bdcac325f5974
9f3da2c1759faa0acd89151e77f709423d9afe4f,b7e1cf44027732d847f6a81f43e120282e325bed,1b75ec9b2d9aa2d2a6e61c644e0b59df73b212ab,dc999aecc101a09fc751f134a7ea263c6cfad9e6,c336c14e18c3ac87ab06493009281f50e103e0b9
3b99cd75921f02ea0069a841b119ddc3ce6daa44,9b9b1ffe6b4ac8871d32feb7a8605c4b9594040d,a9f313b485e7e09cccfd2fc23de4d56fa7ad09e4,ad0a4c144b2e11cbe3ddf45f25b21bf588054cd3,a9218baf9e1a8dead97b5391705ed6cf5dbd2f46
a003ad5f37aad62ceef18b3acaae4a8dd156aa65,0c19d34aeaf6a05ecb0cf97cdb6ada694fb7d3d8,e7175f18b4b7cd64b3c9b93faf49fd6bc34d0227,aaef3a9840b909d63cfbd62cf034a9c68ed5af68,763f60abff1a875d36e42ac90b1c09647c6f8899
2c01a7fb5bd7aa4723547ad6c18be7efdbd6b940,c94f05ae958948ac9f47db364d2ae71682848dee,8872fd038ca9d1e9bb57a46dafe533fa9e0f0295,e9dc25296317b5161638b00928eb47feb9146b3d,ce3dee0636937d79448e368e55f9cc3d50130c37
38d78ca38f3640b36a73db925f8e0310226f9cba,373ac9f009881e69ba4225027b90599070c2ac55,ae94c2df198f451813a5e5d228a228bbb1549697,a2d1dd5f4ec3318be26e7186cbf3e46159695136,cba33d30b4f4adeb6df3db684461ccabb8e8ef19
6a765ebee4add535d5719b1d5fc501b738462a26,172e5056d9216359e4e024fe9d7b9fee2dab2ddb,bfb734f4d9c683c60ebbfbc9898f7b011bc4d8d7,9ab26b56e5d635309f2dc1918a5d2d7abe5b6b14,eddf86df6dc568fb95befee939f4510ebc16b647
2ebdea08321458ed80a300b1185b365fb8d10087,31140a1570e859f291453b60f23c5e223ccaad2e,9955a8ae82232620659ae7f311470ef87b64414a,826b8a8556e2c5377de76e2d6a5e73e1873e61d7,3c01772b8f5062c0b0c6c65b30b3c70b6b5def9b
409a0672d1c90a0211c0e2ebd9b43dce4d2bfe4d,bf48548290ef1ea6834ea727b91958f08f143b3c,131ef53dd15095b246592072b5a70e4841609b4d,7114851b5dff6028bf85da30bad0ba069144449d,bf8f7853609620ee69b88e1f97d91099e1255c6d
8345c924c653c3e542e6beb43b01a8ddc2922a05,13b21bc8aed17862f4f1a8932f97bcfa8f2ad208,64ad32792cba3fb0d30a8eb781781e489f63c993,98df9f9f593997092e3394d96f9fdfdb58384164,2c2a50060ca988bb73102b6038520d2a15924894
0a3436d269003c9f01a535f99219b3d9bca588c1,626d47d0e2dad79bf58bacee1667e6a0b08a2057,8438ae336dd6654e1c000a13df5b7d0ba33bcbd5,8a0a4473b14922edb413754bc7b602475aa51f55,4f052caf73aa8fcce679e738320976e6400fded7
f82ac03cdc840f1eddc94ec9541f6b01ef4cf0b2,9d70ee121182d0555bbc3502919ba10e9f188857,b1324bcc7ceb3e5dea05114920ec0598f71b09af,63dd54bfda7b68bac541183e23ca994095b2efb4,658f3177f59d09fde3969ce19a622f30ad760d20
adfcc45b201c41a0a22ef724b148e2343f296b8e,121a41569bfb17d49784ed83d6922c0651039412,a6b21d4119a8904b78ed6f35d31dea5cee0653f1,390f1e00f660aa5c2e46fab59f7b81632cd77bb0,f9f438955753128b3e8a1a8f4d136e6521c4e76d
b36e2a08b0394a72d9d33e83477d14dbfcc00e6f,084ee4dc94b0da946fef5e338416af080788724a,d738b3b5f93f499c1455197bc1f3e3b3d49780f5,31fc09743f435b04c9a8f8e52283c810ef511007,a4564f628cd6c36ef6c630a9e679297721328687
3de545186c2a1e7d37986fd10636a5dd42213964,9670aff43cb6ff94b674261abcaec5da0d776f05,34e8c116c31a253ee7e91e5bed1942b4e07dc341,0f6ebb3caa8a74de88cdc6e0a5785c7466c26421,de0f0e2ac01c97368c2efd0928f6b3462794cf80
f27962ef45ff874b8602de6eccedf3469eaf2164,180c3be9dac01ca5ff6b89a596589dd8b215ba9f,f572a747d51853c4662dc899e8573cdf89303430,b5f1c189df66a0cba3d2eb01c587ecc59958316c,1a267b880390b9bb5a1e90a292f59361a039cd4c
be152ebaf1fc692cfa13f27a59d135869f1d0521,30b48a409de24936ca8442a9a8eeae49e878b7be,874be86ab2dc53803fc766dfdab1af07b3956cb8,d202d18cd80761bd242100dbc8c2c2c05e8f1cac,6a997c32e31df007c2e33304a4949682dd92b215
11f48ce087b6405bb878f866d867ad44750cebe8,f10ce9f853bdc5568d96d6a532d6c35e2088566a,68e62f81807db3c46253dc5963542bb89375a222,13bc74278d91340b6dec4a94ccc9e079daf90c91,b52889b45f04904e36102c1917466c292eedabb4
48d726173403f142d70b6a3a81974d21e0417ee1,bf9a01e943f99e780c39b3e10a2291b98d4ae131,7f71cbc43db7e3a60b5df0f3b87cbd847a564c18,70b1357c78c942cabf39a1f2418e1840a4c5371d,7cbdd75859ef7baf1376751143a58b5f945cfd84
0b442afaceacb918c4a0f601ab7d1c0bb7105769,c20f2014fc0ac4ccaed2f8dfaabda3e24061c05a,b7780930478f861d7497c94765cc112e5cd28c2c,5b5970086dccf263040e1e0d1ec54953e14708e3,28ce762409da7fbc6879b9d6c3451176fade0187
3344e6e4e43715673c249ef5fb1f5647bb9bc7ed,48f35ffd4ed0349b20591baf4cf4e405a94c1225,5f354217c47773f6c18362a2cad07d3ee10ecd62,ae33965300ed1b2cfd2bf63822f7316d8c932471,4026ba65d5156435e6903326d66402e4cac2b356
618364dd5ce90f62c3ae571a3c372aa94b0c6074,09192068c951050fbb42f01a9e04f2c3fd9c31bf,0a64fda00119c0a40d646747533981d43ecd2986,126f9f5499d7ba53d4e9614e5cf91bdbab5431a9,17843667f67fb29e79db96d6b040be0328dff7d6
6de44c0b32f5c743da7f99344e4aad7c2db0ccbd,94f6795de7782b7fd96dbcb3df9d9441ca437669,e9e2c69e960ff254137fd17aeb1d5576457a28e3,45668d211a331afc727620fb2898c558fa836f99,5bdeedfa065bc541374e21dfc1056665e02ae12f
48d17d3c778f9aac66d6eaefe02a1d14492c0c04,e421b8a81c114f8c27bd95c560e606e77cb74a47,3d3a79b3bdf7a2ef9cb3b4b66db4736b71df6911,c12d80565ce639aa56e9608922e80aea602ae681,2a7cb0aa0f5f9d995a4480782da586306fdfaae6
2f24ffbbbeeed582f34ed8a71dbce60b781cc13c,7ac91df12467663e3774859c57cd5f91f394a1ad,3e8a2387d29b98cb8e1b05f66da0f49716b468b6,51a261e8e6813cb8989fce148060a9bd040f0186,74a0acb3f2c48ed859d5a6875d3b24ef3101cfe5
8316947ad603152c3f19a5ca0332602bae11a372,7143bafc90d207515a3280faa5e897aee6062a52,993facf221cec05114847d45781faaf6a9cdba45,4ff5d6aa33ef5d03a843c236a1d29236dd1a247a,55e6c6c43b1653e75eb8fd3fe9e294023444e76e
15c6af89f2439439f248a9632af0cc8061752ddd,c9b96a721fe9ea039e5928a258b16373528c534f,9eb6726b732df57322d9ea2023f7181a6b2a365c,f6f0db1dc3b2560c52ee09eff0a2b61e02b0c9be,a4e3c5c4267254dfc4d461481c2c59b566bb7b71
9bce5c60ab89e7fc64ecb304966ff4cd7ae94cba,20be66083a054854e3346aaaaaf56743c39a966b,f6ca86668aec14c9f9c995edc6cc6b3e5717f597,77d1b3ff2e68a17151379f734b398d16ed96da3e,fb79369e9d74c8aaba89ad1b558477ad79710df2
775504ca376f77de9fe339e9050b185453b290b6,ff44de61883efd1de5706e930c55fa02e896901f,38ca8f73a735f1f223c07b72124c82b509277ea7,8b7b207754e94e8a7932b7f1916a61a0f324657b,f911fdeb03ffc24ef553dacdfe6fc5338b270965
