"0000 - U.S. President","0001 - U.S. Senate","0002 - County Clerk","0004 - Athletic Director","0003 - Question 1 - should the starting time of the annual town meeting be moved to 6:30 PM?"
2d6a136c88ff8dd1c15a97aec5f5c1b00dd49eac,1cacb0c942e5408df42fdc7175777bb444630a81,4aa9310060070300730282a9af068ee10b4dc05a,30a0c1efe04822f908e4bf3388c467c2d646b471,2471ead4c2a27f7d70592553037776ed842ccad8
59c60be2bd8273cbf3860199faf6e027f6236880,b9544a8be254a574db2a462c99476d6dd2757f4c,ea004d0c5be51599163a066ae3baec7bf880543e,63dd54bfda7b68bac541183e23ca994095b2efb4,3cfe66054e26e4ac9f375de26f686818b6b1a6a2
0f894303b6187e39ba751a9eadaf581b0b84b7b2,573f06e0a5aab73e302fa122f6e8853bf4396300,72b219986941441ac06e1a2bdfeaeca93104bd9e,14a90a3dd27d662589978f0182745b6511dd6550,763f60abff1a875d36e42ac90b1c09647c6f8899
ba0f3f5997507376bce9e4b968a98aff72c75edf,bb4f812bbc12bb4a0d8ba31b5c83bafdfea6b388,22f7ece032f454beda3b722bf9d6796dbaef17a0,8e5476467d8fa2df531b43d6d098dddc13198345,5ebc6856f9c504607990e76accb5140f37d8f55a
3344e6e4e43715673c249ef5fb1f5647bb9bc7ed,de6483948e6ef8704e01eb68193e9b0a20f70b2f,1db971f5027553985ca21a577a28957199c0c95c,5f12bbe9365948ee5181556af1ace9bcf09c1dce,b26ab07c52dfa203d5163cac220539673cdda264
f3a3b1d3c83973b8a1f1e48617396c8dbcdf1a3d,718b2503e14955a1c0428a6484fd6ac75da7ae11,38041418a0cc2b552a3cced285d39abf205ae738,f6f0db1dc3b2560c52ee09eff0a2b61e02b0c9be,7add29e6138b4602de47c341747920478ff427e1
48d17d3c778f9aac66d6eaefe02a1d14492c0c04,7ac91df12467663e3774859c57cd5f91f394a1ad,64627f7da49812ca1dec5a4d73defcbdb9e765d7,cfdf3573d52bceda6006e9bba99d2ab216b84397,de1adee7afd8e160f0d7feb03bc19bdd9b84ed7b
02cc45e207095f05e6bb7a2615d1378de4903961,e3897ea0cf4cd3ea82d84c206622069141cef5d0,6b406a719a912ee01e7b8aaa14783a4a497c57b0,b5f1c189df66a0cba3d2eb01c587ecc59958316c,80372ab6183a0a81e0511e2989eb732f043d8a30
bbaf79931c107f9f1717e8c870d5522a90a663f5,b22409537047f6aacf251fd166e1a93d5a9ccf2b,f4a39d78cd038f6c28f00f40ae63a71f2e3003a2,3c5324d33d8787858658b503fe29925b69527d1f,6f9ca20131144c7574953280b0dc7213aa18924c
b9758771727559a8f8016156f8d60ac186c02752,e1440236d50698347a95a5b0fe4c6bac6a775928,42bf9d59f56c383855f830451b76f2d08925a18c,ea561835b5283ef3a99580f17ccd2168ac8597d7,4de55b773e158c2a3f95528b798859b67a48c38b
fedf161eaa4f3200db307a54e689fd6afcad6ce9,35fed8625c78c8e545a30ece196e39907b2b02e2,fa60a543cd6938bceda8b4750272c4853d795a71,f0d41930d61535fbe2d7d7471b9a4d3a9da82560,f911fdeb03ffc24ef553dacdfe6fc5338b270965
11f48ce087b6405bb878f866d867ad44750cebe8,3854984505d5d736da2d3ede38972c69cc64fa90,77064d2d9edb6a2a4f6d8dd36d7c5b7f4d4bb36b,20319263cc616cbb9d08b1ca544e6c6a32c6521d,0ab0c3ee94253467cd96d4580c0ab9868fc7936c
7f46e8cc1405d627ee4491b3f9c5630f28e8348d,54d4460c793fded560d8ef3f99bfcf543818fd89,e519ea72305baea86dfb9050b81c3025c43f96cb,ac04923dd08a5ace7d8a21114f0836390933270d,df57755695aa572a26db94b9a2955c2721f2ee41
4856ac479c1426b34e32bb88444c30d93b0905af,3668006c856b56f8501612ea2fc16658fbd12f57,98ae0eb151deeb89781a19ea5a10db1df196187e,b25667cb92788e6fc24bf189571d4992ba40be45,7aee8cbab435281165629443040201bb220254b9
6ed1304bfad1aa597531cf9ffd195cce555dfea2,09192068c951050fbb42f01a9e04f2c3fd9c31bf,5f354217c47773f6c18362a2cad07d3ee10ecd62,70b1357c78c942cabf39a1f2418e1840a4c5371d,c6111bc73df2bcd6686989a1534a5fd35f3d9c85
8ef4b6fde8a1eec0852e1903883e69c2189ff0ea,13b21bc8aed17862f4f1a8932f97bcfa8f2ad208,2b50e07a353efb2895ffea716da0d5a7a438eec5,a133d5dcbc9f3628743919418009d9b75bde75b1,1a267b880390b9bb5a1e90a292f59361a039cd4c
0a3436d269003c9f01a535f99219b3d9bca588c1,63689a0baaeadc4ba12227d091e12e7daeca157b,206495c3146ab5b978b25a5b52bbac4850def81c,1d9859aef178e3288cafdc6376b932d59f783f17,996b998fbc7211de9d2c3f0b5b4ca83e94fe77aa
ffbbdb77eb38f1531cf35f2d501b5be283da1f91,626d47d0e2dad79bf58bacee1667e6a0b08a2057,fccb54be77644fd10abde32f1bf20627e60c9f51,01fa85da03ffc28c017141862377e39fbaefcf31,b138a39c8d92b985547d187047b247337cbf90e6
460ecd763040145b0a964ca24b5801726cbc26d8,f10ce9f853bdc5568d96d6a532d6c35e2088566a,748687fd81b0f478e066380807f83129e51d00fd,6d9e3a2716c4701e74e5e18965b6a0feabeacba7,2242df64c34fb4969508369f24dc096c947f4741
d877291602680fb7924ef8cfe6ec9b0f06122df5,055895bc9c2d0d97513e9e43c21758346c0fe223,38ca8f73a735f1f223c07b72124c82b509277ea7,55af6e365e2dbf52aad8df0a3d7f5e573666b67e,3f9ed4ffc3f76ef064ce200088a64c90059b6d21
0a38788834a0c165190a3ca82bd62a7a7c701c13,86351341da3ca1c6e963975bc503c64ede458dbd,3c0473887a3af3a28951839b766678c7ae919d7a,807db7e5850c63f2a92d322878ef358a0579316e,fb79369e9d74c8aaba89ad1b558477ad79710df2
634e924f1cc73bf8fc0d109519c2e067305a15b9,e8dc389f1fc6116096b1596ab148601ca1477619,a6b21d4119a8904b78ed6f35d31dea5cee0653f1,f40650800742b3042eead9a305c9faca7d9bbd98,eddf86df6dc568fb95befee939f4510ebc16b647
16f1f10ba839fcd31ebb431c9faa1d0062502547,08277f646cc149010888662b317641317e257c2f,8438ae336dd6654e1c000a13df5b7d0ba33bcbd5,b1f6d5ed9ee432711ed04e1485fdd94c9cb36bff,37f776d9b70ed7dbedfd789d0e9fd8441f0e0ccd
6970abf8f589717ff218e63905948f5698733653,8f9baf335d6819856491f2dc08e56ec1b335efe0,f572a747d51853c4662dc899e8573cdf89303430,85522b2c46bba67a3978c25bad94ef97631caa2f,048a09640273a9529ad8619911dd9732320997ac
3c57b9f9b5bf6e43118738bc8267c8d1c9296cf1,9670aff43cb6ff94b674261abcaec5da0d776f05,5bec270ade2129ef0b94f7e003e17829e8d9f9ca,a03908d954aa765c66a33e699f43929863c27b44,a9d11156864d8c0b533647cba29701c68b9375cf
3b99cd75921f02ea0069a841b119ddc3ce6daa44,b305115800e30af9fc35e529fd124e487cbc2cb2,993facf221cec05114847d45781faaf6a9cdba45,8a29414ed17ab7c224d417b05a23050af5db529b,9a0b11db52b1d68ff67e00eb55d8385f4c3da106
b4ae113175e2d978032cd2c7b9b0bd2cc3dec214,4763a35e4b866bafd0c5f8df62ce675967f07fc8,b733efbc7f55acb8f2d7db075c7f2161e27faa77,c12d80565ce639aa56e9608922e80aea602ae681,1b3ec878998fd508bb4ca229ce2f676ddb982465
775504ca376f77de9fe339e9050b185453b290b6,7d3adee24dbd5bb148151ea4dd109758220f6fec,0d9ae30c25fe800f7a0420d49ce15122e0b2d201,9bb91b9c2005eebd3662e0396488f668865b8ab1,052bb6f8d7cc6278ec70e5e93c3dc24efb23daa7
a921c8bfa56840ded3439998403d1dd436e3bc73,f8eb9bd7852d7382c8f0433023293bcc1c9a4bd8,7f71cbc43db7e3a60b5df0f3b87cbd847a564c18,1ee7d3589d56597e3a719318eade26bffe1d9598,ec22514fc686ec34154062e2762b827c640f85bc
39247c5d59fb01470042898de2e64b323fbd2638,0f18235d84c47535d237f96c9a1bc8d1ebe82897,a9f313b485e7e09cccfd2fc23de4d56fa7ad09e4,3b203cad54307c40abfc6af200c97c7f613cd78a,2566a03d6e79aea646f949669c052ec0f2268686
29062cdbe2ef36f7bc2051475bc155c992d3fb7f,903f1f94ceed48b556d2ef58e6be7e72c840ddbb,b83e775bb4efcee91b21a7a9eed60bd2b052222b,0c1ee7e903fbeb43c78268133d5cd4a7642a2c49,f9af1db80ee9d7e45ee734e4d87d9ec28a48a99c
0e0c5173d1e9427e8f62487a3421d30a2ab99ede,ff619ff36e35409a65b3ffe1203b2cd5981f86f6,a98afcb2b6cbb0fa411b8ef3e5d52c1837b2957c,826b8a8556e2c5377de76e2d6a5e73e1873e61d7,89020f93526c4f5a97f5bde437d7251beed910de
6fed6e88e19f5957c9f35ac7928bdfecdaed0c16,7143bafc90d207515a3280faa5e897aee6062a52,d1bfbbd2d7a1d6b7ac4e1b2eab841ebfbfe88c10,6295a9480802448e3fc78043a1b08a29e756afd5,19a3854c361cf8c9973912805cd4622b68313787
6de44c0b32f5c743da7f99344e4aad7c2db0ccbd,ff44de61883efd1de5706e930c55fa02e896901f,089330bf89c0a1fc2ba9ef27f68a43bd55f2aad8,c3d59549c00466fceebdf70d3fa4127e31cd105d,6336a955884ca36ccbce4c61e7da58aca60d58ad
daeae4d2e83ea31803d1ce74443afb02217a91b6,46d63080f03ef03f60e95724d1a5713ee5150ae0,b23c8221e8468b4138979bcaa5ed14e31f8868be,ae33965300ed1b2cfd2bf63822f7316d8c932471,07d855e9737ef878bdcf53e49c276a3e73c1e5dd
4a4cfb475d51bab1edae640163105407cf807c7a,9a629209cf4cfaf78e3eb35dfc333a37ca72b2c5,6eae85bfa34258da183db176f32117f50f36a694,31fc09743f435b04c9a8f8e52283c810ef511007,0dcbe9aa7aa0ddbf30c12558dfb6bea80385133f
729f0fedd6afac6ff81bc24814c46c3198a8611a,dcb5b0b8ecc5b5959a6a3fc77b6c03def710a9eb,41ba629566fc17a2bdd52a6c053919fe1e2e33a5,0918703a4292366e349edab8e5926fb58fa0dc0c,a4564f628cd6c36ef6c630a9e679297721328687
f4809fdbf86d031e93bcc023f719d98f1665efb6,dbb0826ab8d68abae31456ca000e719ed53fc4e7,009deb4a9be07ab285295d653b33b1f2d2b488bd,caca38f318927645ea01b86e56ed90f947e5fec3,de0f0e2ac01c97368c2efd0928f6b3462794cf80
559b3031044da364637c10bee828b1238b3e0a6b,ff2803078c78a674dd322d2db10a668354e7ef84,ef8cfc8f55870d8c3ba921d51d7ee38e3824dbce,457f56b0e2f88cb35b31b2072d35ff2797513f11,f9f438955753128b3e8a1a8f4d136e6521c4e76d
5f8aa6b7d3d7789761a0040c0a568ae5444488c9,4f0801d6fa93e1e0271c55f3e6a17fe46d06503a,8c07d963a5077e9e90067d66a4f0df1ac7af2acf,7232f061fb5fd0cdcfacb90d498dc5a5ec864c95,71c4014707ec9f0d563d479ccfb0ae0cbb5ff0c5
1f8810ffde1cfe82d694387d970a57649b656770,cbf9ce20003b1c285cc795ad5d655eed06539d27,7a89e5c7ff6593d061bd87e3f3828810edfd2a59,378cac4bff4b8aa691722a54cc5850cfa55513c3,a4e3c5c4267254dfc4d461481c2c59b566bb7b71
409a0672d1c90a0211c0e2ebd9b43dce4d2bfe4d,1e2b78ecd39882247a10f6659b41f10e43f21fea,b7bcaee33d978c981289f6c9f9559d2f40df9628,51a261e8e6813cb8989fce148060a9bd040f0186,cba5fddaf764aa59fb72ee9db758787cce7b278d
f311451f2190e9aea7c91d7a62222325e4887666,dda5df5a19bf2cf4fbde36f341b06cdf0c418a8e,ba4eace8bda59f3ef8463536351df2da5d20f5a4,0565f25550e6959af19ff41842f1bcbf9e579791,6a997c32e31df007c2e33304a4949682dd92b215
